YEAR	C0001898	C0002563	C0051405	
1947	16	0	1	
1948	10	0	0	
1949	8	0	0	
1950	20	0	0	
1951	14	0	1	
1952	19	0	0	
1953	11	2	0	
1954	13	0	0	
1955	15	2	1	
1956	8	1	0	
1957	20	4	2	
1958	28	9	0	
1959	20	3	0	
1960	25	9	1	
1961	42	6	3	
1962	65	9	1	
1963	53	12	4	
1964	77	8	7	
1965	90	12	3	
1966	134	0	0	
1967	105	0	0	
1968	102	0	0	
1969	113	0	0	
1970	181	0	0	
1971	191	0	0	
1972	239	0	0	
1973	255	3	0	
1974	247	9	0	
1975	539	123	0	
1976	635	100	0	
1977	441	78	0	
1978	456	98	0	
1979	423	89	3	
1980	445	76	6	
1981	397	91	2	
1982	447	67	16	
1983	429	120	21	
1984	399	99	26	
1985	519	119	39	
1986	456	134	76	
1987	519	136	35	
1988	603	104	23	
1989	541	149	50	
1990	743	98	21	
1991	614	167	39	
1992	569	217	45	
1993	700	213	52	
1994	825	281	113	
1995	747	426	94	
1996	687	563	121	
1997	745	614	103	
1998	719	515	110	
1999	704	616	127	
2000	968	728	235	
2001	921	776	163	
2002	1005	1517	195	
2003	1017	1111	205	
2004	1028	1141	235	
2005	1008	713	283	
2006	908	1029	348	
2007	1106	725	389	
2008	876	717	204	
2009	1484	921	338	
2010	923	901	469	
2011	1503	1189	917	
2012	1147	1406	979	
2013	1468	2167	1076	
2014	1915	1824	1440	
2015	1657	2904	1233	
2016	1538	2138	1404	
2017	847	1667	1610	
2018	1085	515	248	
