YEAR	C0008115	C0039021	
1946	23	3	
1947	19	9	
1948	32	11	
1949	11	7	
1950	15	20	
1951	9	36	
1952	21	39	
1953	14	16	
1954	11	41	
1955	13	32	
1956	8	26	
1957	20	16	
1958	21	20	
1959	43	20	
1960	28	23	
1961	18	27	
1962	25	18	
1963	18	12	
1964	17	23	
1965	24	34	
1966	15	26	
1967	13	25	
1968	7	28	
1969	2	30	
1970	6	42	
1971	7	36	
1972	38	37	
1973	64	32	
1974	65	34	
1975	109	79	
1976	60	74	
1977	75	80	
1978	61	73	
1979	104	128	
1980	128	80	
1981	225	86	
1982	221	82	
1983	167	78	
1984	198	97	
1985	202	96	
1986	244	117	
1987	267	92	
1988	300	127	
1989	381	121	
1990	435	164	
1991	495	161	
1992	504	160	
1993	532	217	
1994	620	196	
1995	684	212	
1996	614	192	
1997	744	264	
1998	765	278	
1999	887	268	
2000	1124	358	
2001	1305	316	
2002	1644	405	
2003	1993	431	
2004	2435	467	
2005	3374	589	
2006	4203	603	
2007	5846	554	
2008	7680	931	
2009	9636	837	
2010	12891	1003	
2011	16918	1238	
2012	24533	1463	
2013	34223	1601	
2014	42681	2185	
2015	49376	2245	
2016	53619	1986	
2017	53410	2716	
2018	22951	1074	
