YEAR	C0009563	C1321605	
1974	3	4	
1975	53	47	
1976	84	72	
1977	38	103	
1978	66	152	
1979	54	211	
1980	54	281	
1981	84	305	
1982	117	368	
1983	101	345	
1984	156	498	
1985	118	487	
1986	128	501	
1987	111	477	
1988	131	574	
1989	160	733	
1990	174	711	
1991	212	720	
1992	326	874	
1993	310	940	
1994	285	1005	
1995	357	994	
1996	211	1015	
1997	258	1264	
1998	273	1254	
1999	314	1287	
2000	316	1382	
2001	300	1538	
2002	293	1548	
2003	297	1650	
2004	270	1526	
2005	409	1952	
2006	308	2169	
2007	253	2041	
2008	261	2357	
2009	362	1974	
2010	270	2111	
2011	354	2425	
2012	493	2658	
2013	279	2499	
2014	225	2848	
2015	191	3178	
2016	445	2992	
2017	190	2745	
2018	80	1086	
