YEAR	C0001614	C0007776	
1945	0	12	
1946	0	49	
1947	0	54	
1948	0	36	
1949	0	47	
1950	1	76	
1951	7	154	
1952	19	172	
1953	16	197	
1954	15	214	
1955	17	240	
1956	14	212	
1957	7	217	
1958	21	215	
1959	10	237	
1960	12	245	
1961	14	267	
1962	15	304	
1963	6	363	
1964	1	406	
1965	0	394	
1966	0	445	
1967	0	630	
1968	0	513	
1969	0	557	
1970	0	485	
1971	1	464	
1972	0	482	
1973	0	428	
1974	1	403	
1975	7	1314	
1976	8	1369	
1977	6	1210	
1978	11	1250	
1979	8	1547	
1980	9	1633	
1981	9	1838	
1982	7	2192	
1983	1	2372	
1984	7	2764	
1985	1	3081	
1986	9	3126	
1987	9	3171	
1988	7	3262	
1989	2	3509	
1990	7	3912	
1991	6	4490	
1992	9	4389	
1993	4	4550	
1994	3	4784	
1995	7	4518	
1996	4	4818	
1997	10	5287	
1998	4	4858	
1999	5	5078	
2000	2	5023	
2001	4	4847	
2002	3	5290	
2003	5	5620	
2004	0	6426	
2005	2	6402	
2006	1	6977	
2007	4	8319	
2008	5	9399	
2009	4	11647	
2010	7	12341	
2011	6	13948	
2012	3	16622	
2013	1	19738	
2014	9	22927	
2015	0	24410	
2016	0	27991	
2017	2	23013	
2018	0	4230	
