YEAR	C0011037	C0026256	
1962	4	0	
1963	8	3	
1964	5	1	
1965	6	2	
1966	10	0	
1967	7	0	
1968	15	0	
1969	5	0	
1970	14	0	
1971	20	0	
1972	15	0	
1973	14	3	
1974	9	3	
1975	24	13	
1976	24	13	
1977	7	19	
1978	8	27	
1979	4	24	
1980	9	23	
1981	4	29	
1982	7	39	
1983	4	9	
1984	19	28	
1985	10	37	
1986	3	32	
1987	10	37	
1988	0	21	
1989	11	34	
1990	2	40	
1991	1	52	
1992	6	41	
1993	0	38	
1994	1	34	
1995	23	43	
1996	9	6	
1997	0	36	
1998	33	41	
1999	1	51	
2000	11	58	
2001	19	45	
2002	5	32	
2003	10	16	
2004	10	10	
2005	23	40	
2006	25	55	
2007	32	50	
2008	22	60	
2009	21	32	
2010	22	95	
2011	26	91	
2012	40	140	
2013	15	129	
2014	8	233	
2015	14	94	
2016	32	188	
2017	7	115	
2018	4	161	
