YEAR	C0007158	C0017977	
1946	8	6	
1947	6	6	
1948	9	6	
1949	7	9	
1950	12	20	
1951	18	21	
1952	23	20	
1953	27	28	
1954	36	39	
1955	32	31	
1956	29	30	
1957	38	19	
1958	35	32	
1959	31	40	
1960	30	41	
1961	29	47	
1962	42	60	
1963	36	65	
1964	56	61	
1965	37	70	
1966	35	25	
1967	46	52	
1968	42	55	
1969	60	52	
1970	46	55	
1971	46	38	
1972	59	38	
1973	43	48	
1974	43	40	
1975	89	81	
1976	69	57	
1977	92	97	
1978	60	64	
1979	51	62	
1980	32	75	
1981	57	34	
1982	55	54	
1983	46	39	
1984	89	54	
1985	112	52	
1986	95	62	
1987	62	49	
1988	29	67	
1989	56	91	
1990	43	144	
1991	37	119	
1992	55	195	
1993	15	190	
1994	46	201	
1995	15	156	
1996	31	237	
1997	32	162	
1998	32	172	
1999	15	236	
2000	39	409	
2001	45	522	
2002	61	512	
2003	16	564	
2004	14	501	
2005	55	620	
2006	53	655	
2007	27	720	
2008	35	972	
2009	74	910	
2010	66	921	
2011	79	1032	
2012	110	1313	
2013	136	1336	
2014	159	1401	
2015	77	1755	
2016	232	1299	
2017	133	1827	
2018	68	798	
