YEAR	C0019682	C0019693	
1985	21	0	
1986	974	0	
1987	3570	4	
1988	3608	51	
1989	2051	1380	
1990	1877	6192	
1991	1659	8193	
1992	1576	10087	
1993	1410	11139	
1994	1185	11889	
1995	1298	12465	
1996	1385	13943	
1997	1156	16182	
1998	1305	18311	
1999	1052	17036	
2000	1664	19817	
2001	1315	20629	
2002	1585	20405	
2003	1721	21920	
2004	2359	26336	
2005	2398	29147	
2006	3477	37422	
2007	4976	45034	
2008	6331	51305	
2009	4110	59891	
2010	7526	82366	
2011	11696	101116	
2012	11107	116164	
2013	9631	143660	
2014	9840	158279	
2015	7628	161636	
2016	8200	173344	
2017	8804	168116	
2018	2620	56060	
