YEAR	C0024131	C0024138	C0024141	
1945	6	0	6	
1946	19	2	48	
1947	24	8	30	
1948	30	8	45	
1949	24	9	32	
1950	88	55	117	
1951	32	13	128	
1952	25	19	176	
1953	38	20	187	
1954	27	17	153	
1955	33	11	143	
1956	13	25	152	
1957	19	35	150	
1958	7	29	190	
1959	7	26	165	
1960	9	17	151	
1961	14	13	159	
1962	9	30	175	
1963	10	56	197	
1964	14	53	210	
1965	10	45	197	
1966	11	46	181	
1967	13	28	192	
1968	17	37	187	
1969	13	23	217	
1970	14	31	238	
1971	9	40	290	
1972	9	39	279	
1973	9	35	333	
1974	4	28	322	
1975	12	69	943	
1976	20	70	870	
1977	10	87	1023	
1978	7	84	1087	
1979	5	102	1176	
1980	13	56	1131	
1981	30	109	1234	
1982	13	90	1605	
1983	6	78	1716	
1984	17	119	1793	
1985	26	132	1930	
1986	11	132	1723	
1987	18	82	1923	
1988	18	78	2045	
1989	33	115	2637	
1990	32	105	2422	
1991	48	50	2366	
1992	63	109	2784	
1993	50	69	2584	
1994	30	59	2761	
1995	26	81	2802	
1996	54	82	2930	
1997	62	96	2985	
1998	122	57	3422	
1999	53	102	3645	
2000	28	80	3524	
2001	99	83	3817	
2002	52	103	4436	
2003	58	87	4353	
2004	105	151	5342	
2005	106	111	5498	
2006	216	93	6605	
2007	73	86	6974	
2008	22	107	7654	
2009	34	137	8883	
2010	36	248	12170	
2011	16	176	12745	
2012	12	390	15390	
2013	27	261	15017	
2014	11	316	15954	
2015	15	322	19083	
2016	8	168	20080	
2017	12	263	18162	
2018	8	98	7129	
