YEAR	C0028905	C0063146	
1946	10	2	
1947	16	1	
1948	10	1	
1949	12	0	
1950	19	1	
1951	28	9	
1952	27	1	
1953	31	4	
1954	9	1	
1955	14	1	
1956	13	2	
1957	20	0	
1958	17	3	
1959	12	1	
1960	10	1	
1961	9	3	
1962	8	6	
1963	17	2	
1964	39	5	
1965	36	0	
1966	17	0	
1967	15	0	
1968	16	3	
1969	10	0	
1970	18	0	
1971	14	0	
1972	16	0	
1973	18	0	
1974	23	0	
1975	34	0	
1976	43	0	
1977	42	0	
1978	38	0	
1979	58	0	
1980	47	19	
1981	32	42	
1982	57	121	
1983	72	173	
1984	75	184	
1985	62	240	
1986	77	208	
1987	58	304	
1988	76	307	
1989	78	351	
1990	100	413	
1991	107	402	
1992	104	543	
1993	125	630	
1994	96	711	
1995	72	760	
1996	99	658	
1997	111	849	
1998	120	694	
1999	103	765	
2000	143	799	
2001	118	866	
2002	136	849	
2003	191	869	
2004	162	789	
2005	347	738	
2006	307	938	
2007	265	913	
2008	235	775	
2009	228	1170	
2010	234	907	
2011	291	1373	
2012	328	1452	
2013	563	1374	
2014	510	1619	
2015	658	2143	
2016	455	1586	
2017	618	1385	
2018	182	624	
