YEAR	C0022521	C0162638	
1971	9	0	
1972	12	0	
1973	8	0	
1974	8	0	
1975	11	0	
1976	11	0	
1977	13	0	
1978	22	0	
1979	24	0	
1980	28	0	
1981	25	0	
1982	27	0	
1983	51	0	
1984	9	0	
1985	21	0	
1986	29	0	
1987	18	0	
1988	8	0	
1989	19	0	
1990	18	0	
1991	18	4	
1992	9	571	
1993	23	2247	
1994	24	4323	
1995	17	7472	
1996	31	11276	
1997	33	18465	
1998	27	21668	
1999	30	24437	
2000	56	28244	
2001	55	27906	
2002	76	29592	
2003	57	32921	
2004	117	33593	
2005	59	34380	
2006	281	35917	
2007	128	37283	
2008	141	40134	
2009	158	47936	
2010	236	54137	
2011	179	63866	
2012	437	81699	
2013	406	95700	
2014	1128	105266	
2015	931	116792	
2016	972	121889	
2017	784	110019	
2018	205	45857	
