YEAR	C0030779	C0031858	
1975	0	4	
1976	2	2	
1977	2	21	
1978	3	339	
1979	9	729	
1980	10	751	
1981	3	794	
1982	9	812	
1983	3	974	
1984	8	831	
1985	13	845	
1986	3	904	
1987	10	835	
1988	6	788	
1989	3	845	
1990	3	908	
1991	13	765	
1992	9	670	
1993	2	621	
1994	2	532	
1995	1	471	
1996	3	511	
1997	0	424	
1998	2	389	
1999	6	482	
2000	3	350	
2001	1	400	
2002	7	310	
2003	13	263	
2004	0	244	
2005	9	295	
2006	20	344	
2007	8	244	
2008	3	463	
2009	7	286	
2010	28	170	
2011	27	249	
2012	11	388	
2013	5	408	
2014	4	251	
2015	18	449	
2016	15	466	
2017	15	178	
2018	0	87	
