YEAR	C0076088	C0077400	
1980	0	39	
1981	0	55	
1982	0	60	
1983	0	87	
1984	0	91	
1985	6	97	
1986	21	89	
1987	67	167	
1988	168	197	
1989	193	180	
1990	260	196	
1991	420	187	
1992	408	212	
1993	489	152	
1994	620	230	
1995	623	171	
1996	548	146	
1997	738	244	
1998	459	165	
1999	519	258	
2000	449	176	
2001	439	286	
2002	323	80	
2003	450	117	
2004	444	135	
2005	331	111	
2006	662	87	
2007	269	117	
2008	374	100	
2009	661	54	
2010	852	129	
2011	1338	210	
2012	1210	315	
2013	712	297	
2014	922	132	
2015	2365	206	
2016	1666	599	
2017	1104	146	
2018	267	14	
