YEAR	C0021965	C0040052	
1974	0	5	
1975	4	9	
1976	45	22	
1977	40	17	
1978	34	6	
1979	32	24	
1980	46	6	
1981	44	6	
1982	73	12	
1983	81	8	
1984	80	2	
1985	136	14	
1986	191	18	
1987	188	16	
1988	194	14	
1989	376	18	
1990	408	15	
1991	373	13	
1992	356	36	
1993	485	5	
1994	462	71	
1995	350	451	
1996	434	963	
1997	480	1137	
1998	385	1208	
1999	436	1024	
2000	454	993	
2001	329	849	
2002	322	744	
2003	330	402	
2004	312	556	
2005	448	439	
2006	490	474	
2007	383	302	
2008	537	534	
2009	518	318	
2010	469	517	
2011	473	393	
2012	407	574	
2013	451	375	
2014	966	341	
2015	928	1007	
2016	756	651	
2017	605	570	
2018	351	269	
