YEAR	C0041618	C0041703	
1945	1	24	
1946	0	137	
1947	0	171	
1948	1	135	
1949	0	84	
1950	0	171	
1951	0	235	
1952	0	156	
1953	0	142	
1954	0	141	
1955	0	141	
1956	0	129	
1957	0	138	
1958	0	142	
1959	0	108	
1960	0	106	
1961	0	138	
1962	0	119	
1963	0	153	
1964	0	249	
1965	0	241	
1966	5	231	
1967	21	210	
1968	35	307	
1969	73	307	
1970	75	305	
1971	72	292	
1972	126	299	
1973	133	319	
1974	174	336	
1975	596	626	
1976	676	721	
1977	995	728	
1978	1125	846	
1979	1467	947	
1980	1698	982	
1981	1890	997	
1982	2179	1221	
1983	3049	1409	
1984	3355	1480	
1985	3784	1565	
1986	4048	1614	
1987	4160	1782	
1988	5126	1819	
1989	6560	2337	
1990	6516	2840	
1991	6279	2946	
1992	6427	3800	
1993	6714	3583	
1994	5837	3813	
1995	4953	4288	
1996	5462	4690	
1997	5873	4888	
1998	5940	5153	
1999	5884	5725	
2000	6282	5968	
2001	7035	6409	
2002	7032	7661	
2003	7540	9105	
2004	7724	9894	
2005	8697	11457	
2006	8530	13181	
2007	9958	13913	
2008	10368	16228	
2009	10801	18810	
2010	11856	20823	
2011	13589	22675	
2012	15619	26106	
2013	16829	30487	
2014	19687	36862	
2015	22641	40542	
2016	25336	40900	
2017	27585	42915	
2018	11629	14174	
