YEAR	C0007799	C0018827	
1945	1	6	
1946	4	13	
1947	4	36	
1948	4	29	
1949	3	37	
1950	6	87	
1951	7	127	
1952	13	121	
1953	18	82	
1954	17	113	
1955	16	106	
1956	6	112	
1957	7	125	
1958	17	142	
1959	10	147	
1960	20	189	
1961	15	151	
1962	19	209	
1963	15	206	
1964	22	217	
1965	14	135	
1966	23	221	
1967	20	286	
1968	34	375	
1969	44	488	
1970	43	484	
1971	53	563	
1972	44	678	
1973	44	669	
1974	39	730	
1975	99	2709	
1976	88	2606	
1977	55	2480	
1978	61	2464	
1979	98	2565	
1980	111	3038	
1981	79	3579	
1982	86	3822	
1983	135	4621	
1984	147	4911	
1985	145	5136	
1986	147	4895	
1987	138	4785	
1988	149	4977	
1989	129	5165	
1990	134	5038	
1991	109	3775	
1992	113	3871	
1993	127	3774	
1994	152	3390	
1995	118	3426	
1996	101	2907	
1997	148	3374	
1998	164	3827	
1999	96	3534	
2000	137	3287	
2001	109	3565	
2002	96	3268	
2003	134	3444	
2004	103	4427	
2005	97	4463	
2006	98	5095	
2007	134	4901	
2008	141	5329	
2009	181	6026	
2010	168	6367	
2011	248	6454	
2012	206	8301	
2013	208	10007	
2014	309	11314	
2015	347	10358	
2016	270	11970	
2017	271	12980	
2018	71	4762	
