YEAR	C0225984	C0684204	
1950	15	15	
1951	17	10	
1952	8	8	
1953	17	13	
1954	17	11	
1955	24	14	
1956	23	15	
1957	12	9	
1958	18	14	
1959	10	8	
1960	7	6	
1961	7	4	
1962	19	15	
1963	10	8	
1964	10	4	
1965	8	5	
1966	7	0	
1967	8	1	
1968	8	0	
1969	10	6	
1970	7	20	
1971	7	6	
1972	2	6	
1973	12	9	
1974	3	10	
1975	9	14	
1976	9	11	
1977	9	9	
1978	12	12	
1979	10	10	
1980	11	9	
1981	8	3	
1982	15	9	
1983	14	8	
1984	15	13	
1985	14	13	
1986	5	13	
1987	6	14	
1988	23	12	
1989	31	12	
1990	8	12	
1991	4	5	
1992	8	11	
1993	8	11	
1994	13	18	
1995	21	6	
1996	22	11	
1997	11	19	
1998	43	9	
1999	13	17	
2000	14	11	
2001	3	16	
2002	1	13	
2003	5	19	
2004	5	8	
2005	4	8	
2006	1	13	
2007	12	14	
2008	6	9	
2009	1	11	
2010	5	15	
2011	2	14	
2012	7	31	
2013	7	22	
2014	13	23	
2015	30	29	
2016	27	23	
2017	17	19	
2018	2	7	
