YEAR	C0013671	C0677644	
1951	6	0	
1952	5	0	
1953	4	0	
1954	4	0	
1955	14	0	
1956	8	0	
1957	6	0	
1958	9	0	
1959	7	0	
1960	11	0	
1961	9	0	
1962	12	0	
1963	13	0	
1964	15	0	
1965	17	0	
1966	25	0	
1967	30	0	
1968	24	0	
1969	38	0	
1970	25	0	
1971	22	0	
1972	20	0	
1973	25	0	
1974	20	0	
1975	36	0	
1976	76	0	
1977	87	0	
1978	54	0	
1979	38	0	
1980	19	0	
1981	32	0	
1982	59	0	
1983	46	0	
1984	53	0	
1985	42	0	
1986	67	0	
1987	36	0	
1988	47	0	
1989	41	0	
1990	78	0	
1991	91	0	
1992	115	0	
1993	49	0	
1994	83	0	
1995	86	0	
1996	75	0	
1997	60	0	
1998	77	0	
1999	108	0	
2000	96	0	
2001	148	0	
2002	100	0	
2003	162	0	
2004	75	15	
2005	154	11	
2006	209	22	
2007	119	19	
2008	101	46	
2009	164	22	
2010	273	29	
2011	490	45	
2012	634	39	
2013	312	44	
2014	352	17	
2015	823	11	
2016	407	20	
2017	536	7	
2018	157	0	
