YEAR	C0022023	C0022024	
1945	6	0	
1946	23	2	
1947	33	5	
1948	38	10	
1949	31	10	
1950	64	17	
1951	89	28	
1952	91	20	
1953	91	24	
1954	68	27	
1955	86	27	
1956	74	14	
1957	126	12	
1958	124	7	
1959	171	10	
1960	148	6	
1961	180	20	
1962	175	16	
1963	174	11	
1964	220	17	
1965	172	13	
1966	90	17	
1967	107	27	
1968	177	12	
1969	94	19	
1970	120	12	
1971	124	13	
1972	97	21	
1973	81	22	
1974	75	18	
1975	196	52	
1976	203	26	
1977	242	40	
1978	334	60	
1979	147	49	
1980	221	49	
1981	196	38	
1982	136	45	
1983	215	31	
1984	196	61	
1985	245	67	
1986	227	84	
1987	305	87	
1988	298	91	
1989	408	123	
1990	375	147	
1991	360	106	
1992	378	112	
1993	379	153	
1994	379	153	
1995	419	235	
1996	444	174	
1997	661	152	
1998	579	242	
1999	638	192	
2000	756	194	
2001	1136	187	
2002	1536	241	
2003	1768	331	
2004	2022	367	
2005	2885	240	
2006	2585	191	
2007	2979	235	
2008	3424	329	
2009	4489	287	
2010	4785	229	
2011	7387	279	
2012	7455	506	
2013	8366	377	
2014	8112	372	
2015	10488	322	
2016	7603	269	
2017	4841	304	
2018	2742	116	
