WSD_INFORMATION	NUM_SENSES	SENSE	EMERGENCE_YEAR	EMERGENCE_VALUE	ALLSURGES	FIRST_YEAR_OCCURENCE	DifferenceEMER-FIRST
CCl4	2	C0209338	1994	0.008403	1994|1995|1996|	1991	3	
Cold	3	C0009443	1945	0.181818	1945|	1945	0	
Cold	3	C0024117	1998	0.003819	1998|1999|2000|2001|2002|	1959	39	
CCD	2	C0751951	1997	0.000000	1997|1998|1999|	1965	32	
GAG	2	C0017346	1988	0.002301	1988|1989|	1982	6	
Pharmaceutical	2	C0013058	1963	0.005780	1963|1964|1965|1966|1967|	1963	0	
CAM	2	C0178551	2002	0.000000	2002|2003|2004|2005|2006|	2003	-1	
Language	2	C0033348	1986	0.022321	1986|1988|	1958	28	
EMS	2	C0015063	1974	0.000000	1974|	1975	-1	
TNC	2	C0076088	1983	0.000000	1983|1984|1985|1986|1987|	1985	-2	
SCD	2	C0085298	1988	0.000000	1988|1999|	1950	38	
Synapsis	2	C0598501	1998	0.000000	1998|1999|2000|2001|2002|	1951	47	
EM	2	C0014921	1973	0.000000	1973|1974|	1975	-2	
Sodium	2	C0037570	1945	0.071429	1945|	1945	0	
Plague	2	C0032066	1959	0.000000	1959|	1946	13	
CP	3	C0033477	1971	0.004808	1971|1972|1973|1974|	1946	25	
CIS	2	C0162854	1991	0.000000	1991|	1992	-1	
PHA	2	C0030779	2002	0.022082	2002|	1976	26	
IP	2	C0021069	2000	0.000000	2000|2001|2002|	1989	11	
Familial Adenomatous Polyposis	2	C0162832	1990	0.000000	1990|1991|1992|1993|	1991	-1	
Leishmaniasis	2	C1548483	2005	0.000000	2005|2006|2007|	1947	58	
IA	2	C0021487	1946	0.076923	1946|	1946	0	
rDNA	2	C0012933	1980	0.000000	1980|	1981	-1	
CDA	2	C0092801	1982	0.000000	1982|1985|	1983	-1	
HIV	2	C0019693	1987	0.001119	1987|1988|	1987	0	
OCD	2	C0029421	1983	0.000000	1983|1984|	1984	-1	
PCA	5	C0030131	1972	0.000000	1972|1973|1974|	1974	-2	
PCA	5	C0078944	1987	0.000000	1987|1988|	1989	-2	
PCA	5	C0149576	1957	0.111111	1957|1998|	1957	0	
PCA	5	C0429865	1999	0.009662	1999|2000|2001|2002|2003|2004|	1960	39	
LABOR	2	C0022864	1945	0.083333	1945|	1945	0	
CH	2	C0039021	1946	0.115385	1946|	1946	0	
Tax	2	C0144576	1992	0.000000	1992|	1983	9	
HCl	2	C0023443	1975	0.000000	1975|1976|1977|1978|	1954	21	
Gas	2	C0016204	1945	0.285714	1945|	1945	0	
PEP	2	C0135981	1978	0.000000	1978|1979|1980|1981|	1980	-2	
TPA	2	C0032143	1983	0.002974	1983|1984|1985|1986|	1982	1	
Eels	2	C0677644	2003	0.000000	2003|2004|2005|	2004	-1	
