WSD	WSD_BASELINE_EMERGENCE	Sense	SenseBASELINE_EMERGENCE	Year
PCP	0	C0030855	0	1972
PCP	0	C0031381	0	1972
CCl4	1	C0007022	0	1946
CCl4	1	C0209338	1	1991
Cold	1	C0009264	0	1945
Cold	1	C0009443	0	1945
Cold	1	C0024117	1	1959
PCB	0	C0032447	0	1971
PCB	0	C0033223	0	1971
Yellow Fever	0	C0043395	0	1945
Yellow Fever	0	C0301508	0	1945
CCD	0	C0008928	0	1965
CCD	0	C0751951	0	1965
BSA	0	C0005902	0	1952
BSA	0	C0036774	0	1952
GAG	1	C0017973	0	1949
GAG	1	C0017346	1	1982
Pharmaceutical	1	C0031336	0	1945
Pharmaceutical	1	C0013058	1	1963
ERUPTION	0	C0015230	0	1945
ERUPTION	0	C1533692	0	1945
CAM	1	C0007578	0	1981
CAM	1	C0178551	1	2003
Exercises	0	C0015259	0	1945
Exercises	0	C0452240	0	1945
Language	1	C0023008	0	1946
Language	1	C0033348	1	1958
EMS	1	C0013961	0	1967
EMS	1	C0015063	1	1975
TNC	1	C0077400	0	1980
TNC	1	C0076088	1	1985
SCD	0	C0002895	0	1946
SCD	0	C0085298	0	1950
Synapsis	0	C0039062	0	1950
Synapsis	0	C0598501	0	1951
EM	1	C0026019	0	1946
EM	1	C0014921	1	1975
Sodium	0	C0037473	0	1945
Sodium	0	C0037570	0	1945
TNT	0	C0077404	0	1981
TNT	0	C0041070	0	1982
BR	0	C0006137	0	1946
BR	0	C0006222	0	1946
Plague	0	C0032064	0	1945
Plague	0	C0032066	0	1946
Cilia	0	C0008778	0	1950
Cilia	0	C0015422	0	1950
DI	0	C0011848	0	1946
DI	0	C0032246	0	1946
Radiation	0	C0851346	0	1945
Radiation	0	C1522449	0	1946
CP	0	C0007789	0	1946
CP	0	C0008925	0	1946
CP	0	C0033477	0	1946
CIS	1	C0007099	0	1972
CIS	1	C0162854	1	1992
PHA	0	C0031858	0	1975
PHA	0	C0030779	0	1976
IP	0	C0021171	0	1986
IP	0	C0021069	0	1989
Familial Adenomatous Polyposis	1	C0032580	0	1986
Familial Adenomatous Polyposis	1	C0162832	1	1991
Leishmaniasis	0	C0023281	0	1945
Leishmaniasis	0	C1548483	0	1947
CDR	1	C0011485	0	1973
CDR	1	C0021024	1	1998
Platelet	0	C0005821	0	1945
Platelet	0	C0032181	0	1945
Crack	0	C0040441	0	1986
Crack	0	C0085163	0	1990
RA	0	C0003873	0	1945
RA	0	C0034625	0	1945
RA	0	C0002893	0	1946
Nurse	0	C0006147	0	1945
Nurse	0	C0028661	0	1945
Lactation	0	C0006147	0	1945
Lactation	0	C0022925	0	1945
IA	0	C0021487	0	1946
IA	0	C0022037	0	1946
Haemophilus ducreyi	0	C0007947	0	1977
Haemophilus ducreyi	0	C0018481	0	1978
rDNA	1	C0012931	0	1976
rDNA	1	C0012933	1	1981
Strep	0	C0038395	0	1945
Strep	0	C0038402	0	1945
CDA	0	C0002876	0	1979
CDA	0	C0092801	0	1983
HIV	0	C0019682	0	1985
HIV	0	C0019693	0	1987
OH	0	C0028905	0	1946
OH	0	C0063146	0	1946
lymphogranulomatosis	0	C0019829	0	1945
lymphogranulomatosis	0	C0036202	0	1945
TEM	0	C0678118	0	2002
TEM	0	C0040975	0	2004
OCD	1	C0028768	0	1975
OCD	1	C0029421	1	1984
PCA	1	C0030625	0	1957
PCA	1	C0149576	0	1957
PCA	1	C0429865	0	1960
PCA	1	C0030131	1	1974
PCA	1	C0078944	1	1989
Schistosoma mansoni	1	C0036319	0	1971
Schistosoma mansoni	1	C0036330	1	1977
HPS	1	C0242994	0	1994
HPS	1	C0079504	1	2000
Staph	0	C0038160	0	1945
Staph	0	C0038170	0	1945
LABOR	0	C0022864	0	1945
LABOR	0	C0043227	0	1945
CH	0	C0008115	0	1946
CH	0	C0039021	0	1946
Epi	1	C0014563	0	1945
Epi	1	C0014582	1	1980
Borrelia	0	C0006033	0	1979
Borrelia	0	C0024198	0	1983
Tax	1	C0039371	0	1975
Tax	1	C0144576	1	1983
Follicle	0	C0018120	0	1949
Follicle	0	C0221971	0	1949
HCl	1	C0020259	0	1946
HCl	1	C0023443	1	1954
Gas	0	C0016204	0	1945
Gas	0	C0017110	0	1945
PEP	1	C0031642	0	1971
PEP	1	C0135981	1	1980
Torula	0	C0010414	0	1945
Torula	0	C0010415	0	1945
TPA	1	C0039654	0	1975
TPA	1	C0032143	1	1982
Eels	1	C0013671	0	1951
Eels	1	C0677644	1	2004
Fe	0	C0302583	0	1945
Fe	0	C0376520	0	1946
Phosphorus	0	C0031705	0	1945
Phosphorus	0	C0080014	0	1945
HR	0	C0018810	0	1947
HR	0	C0010343	0	1950
pI	0	C0022171	0	1975
pI	0	C0812425	0	1975
Cortical	0	C0001613	0	1945
Cortical	0	C0007776	0	1945
Cortical	0	C0022655	0	1947
NPC	1	C0028587	0	1998
NPC	1	C0220756	1	2006
DON	1	C0012020	0	1975
DON	1	C0028652	1	1981
CTX	1	C0010583	0	1960
CTX	1	C0238052	1	1974
PAC	1	C0033036	0	1995
PAC	1	C0949780	1	2001
BLM	1	C0005740	0	1971
BLM	1	C0005859	1	1981
NEUROFIBROMATOSIS	0	C0085113	0	1990
NEUROFIBROMATOSIS	0	C0162678	0	1991
POL	1	C0032356	0	1946
POL	1	C0017360	1	1989
Moles	0	C0027960	0	1946
Moles	0	C0324740	0	1946
SARS	0	C1175175	0	2002
SARS	0	C1175743	0	2002
TSF	0	C0040052	0	1974
TSF	0	C0021756	0	1977
Callus	0	C0006767	0	1972
Callus	0	C0376154	0	1972
Cholera	0	C0008354	0	1945
Cholera	0	C0008359	0	1946
Follicles	0	C0018120	0	1949
Follicles	0	C0221971	0	1949
Laryngeal	0	C0023078	0	1945
Laryngeal	0	C0023081	0	1945
Orf	0	C0013570	0	1980
Orf	0	C0079941	0	1982
TRF	1	C0040162	0	1968
TRF	1	C0021759	1	1980
Retinal	0	C0035298	0	1945
Retinal	0	C0035331	0	1945
ADP	0	C0001459	0	1956
ADP	0	C0004374	0	1959
dC	1	C0012764	0	1966
dC	1	C0011485	1	1973
Brucella abortus	0	C0006304	0	1946
Brucella abortus	0	C0302363	0	1946
PVC	1	C0032624	0	1974
PVC	1	C0151636	1	1988
lens	1	C0023317	0	1945
lens	1	C0023318	0	1945
lens	1	C0023308	1	1952
Respiration	0	C0035203	0	1945
Respiration	0	C0282636	0	1945
tomography	0	C0040395	0	1947
tomography	0	C0040405	0	1947
Cardiac pacemaker	0	C0030163	0	1954
Cardiac pacemaker	0	C0037189	0	1954
ADA	0	C0001457	0	1955
ADA	0	C0002456	0	1955
STEM	0	C0162731	0	1992
STEM	0	C0242767	0	1994
MCC	0	C0007129	0	1988
MCC	0	C0162804	0	1991
SS	1	C0039101	0	1948
SS	1	C0085077	1	1964
CRF	0	C0022661	0	1954
CRF	0	C0010132	0	1956
