YEAR	C0001625	C0014563	
1945	0.545455	0.454545	
1946	0.664671	0.335329	
1947	0.618182	0.381818	
1948	0.607735	0.392265	
1949	0.568690	0.431310	
1950	0.472617	0.527383	
1951	0.461409	0.538591	
1952	0.456706	0.543294	
1953	0.455556	0.544444	
1954	0.484346	0.515654	
1955	0.505597	0.494403	
1956	0.470690	0.529310	
1957	0.420881	0.579119	
1958	0.375899	0.624101	
1959	0.434859	0.565141	
1960	0.491159	0.508841	
1961	0.490090	0.509910	
1962	0.479132	0.520868	
1963	0.495427	0.504573	
1964	0.515113	0.484887	
1965	0.572215	0.427785	
1966	0.554023	0.445977	
1967	0.580000	0.420000	
1968	0.571025	0.428975	
1969	0.586266	0.413734	
1970	0.592488	0.407512	
1971	0.590106	0.409894	
1972	0.606117	0.393883	
1973	0.616334	0.383666	
1974	0.603524	0.396476	
1975	0.494685	0.505315	
1976	0.514268	0.485732	
1977	0.429117	0.570883	
1978	0.367563	0.632437	
1979	0.411816	0.588184	
1980	0.397513	0.602487	
1981	0.377281	0.622719	
1982	0.359900	0.640100	
1983	0.343383	0.656617	
1984	0.366385	0.633615	
1985	0.345241	0.654759	
1986	0.360591	0.639409	
1987	0.337443	0.662557	
1988	0.353171	0.646829	
1989	0.360164	0.639836	
1990	0.367654	0.632346	
1991	0.391444	0.608556	
1992	0.374753	0.625247	
1993	0.399279	0.600721	
1994	0.428994	0.571006	
1995	0.447138	0.552862	
1996	0.451073	0.548927	
1997	0.426904	0.573096	
1998	0.453395	0.546605	
1999	0.424085	0.575915	
2000	0.410208	0.589792	
2001	0.422723	0.577277	
2002	0.442717	0.557283	
2003	0.453456	0.546544	
2004	0.402098	0.597902	
2005	0.393625	0.606375	
2006	0.442680	0.557320	
2007	0.432243	0.567757	
2008	0.470440	0.529560	
2009	0.432432	0.567568	
2010	0.504611	0.495389	
2011	0.414041	0.585959	
2012	0.483832	0.516168	
2013	0.469800	0.530200	
2014	0.454069	0.545931	
2015	0.463033	0.536967	
2016	0.448434	0.551566	
2017	0.447682	0.552318	
2018	0.557451	0.442549	
