YEAR	C0225984	C0684204	
1950	0.500000	0.500000	
1951	0.629630	0.370370	
1952	0.500000	0.500000	
1953	0.566667	0.433333	
1954	0.607143	0.392857	
1955	0.631579	0.368421	
1956	0.605263	0.394737	
1957	0.571429	0.428571	
1958	0.562500	0.437500	
1959	0.555556	0.444444	
1960	0.538462	0.461538	
1961	0.636364	0.363636	
1962	0.558824	0.441176	
1963	0.555556	0.444444	
1964	0.714286	0.285714	
1965	0.615385	0.384615	
1966	1.000000	0.000000	
1967	0.888889	0.111111	
1968	1.000000	0.000000	
1969	0.625000	0.375000	
1970	0.259259	0.740741	
1971	0.538462	0.461538	
1972	0.250000	0.750000	
1973	0.571429	0.428571	
1974	0.230769	0.769231	
1975	0.391304	0.608696	
1976	0.450000	0.550000	
1977	0.500000	0.500000	
1978	0.500000	0.500000	
1979	0.500000	0.500000	
1980	0.550000	0.450000	
1981	0.727273	0.272727	
1982	0.625000	0.375000	
1983	0.636364	0.363636	
1984	0.535714	0.464286	
1985	0.518519	0.481481	
1986	0.277778	0.722222	
1987	0.300000	0.700000	
1988	0.657143	0.342857	
1989	0.720930	0.279070	
1990	0.400000	0.600000	
1991	0.444444	0.555556	
1992	0.421053	0.578947	
1993	0.421053	0.578947	
1994	0.419355	0.580645	
1995	0.777778	0.222222	
1996	0.666667	0.333333	
1997	0.366667	0.633333	
1998	0.826923	0.173077	
1999	0.433333	0.566667	
2000	0.560000	0.440000	
2001	0.157895	0.842105	
2002	0.071429	0.928571	
2003	0.208333	0.791667	
2004	0.384615	0.615385	
2005	0.333333	0.666667	
2006	0.071429	0.928571	
2007	0.461538	0.538462	
2008	0.400000	0.600000	
2009	0.083333	0.916667	
2010	0.250000	0.750000	
2011	0.125000	0.875000	
2012	0.184211	0.815789	
2013	0.241379	0.758621	
2014	0.361111	0.638889	
2015	0.508475	0.491525	
2016	0.540000	0.460000	
2017	0.472222	0.527778	
2018	0.222222	0.777778	
