YEAR	C0005902	C0036774	
1952	0.400000	0.600000	
1953	0.000000	1.000000	
1954	0.200000	0.800000	
1955	0.250000	0.750000	
1956	0.000000	1.000000	
1957	0.157895	0.842105	
1958	0.235294	0.764706	
1959	0.066667	0.933333	
1960	0.117647	0.882353	
1961	0.000000	1.000000	
1962	0.062500	0.937500	
1963	0.060606	0.939394	
1964	0.029412	0.970588	
1965	0.028571	0.971429	
1966	0.034483	0.965517	
1967	0.024390	0.975610	
1968	0.049383	0.950617	
1969	0.021505	0.978495	
1970	0.040000	0.960000	
1971	0.029851	0.970149	
1972	0.000000	1.000000	
1973	0.025316	0.974684	
1974	0.010526	0.989474	
1975	0.054968	0.945032	
1976	0.063107	0.936893	
1977	0.048673	0.951327	
1978	0.058824	0.941176	
1979	0.046322	0.953678	
1980	0.066138	0.933862	
1981	0.074246	0.925754	
1982	0.084848	0.915152	
1983	0.051635	0.948365	
1984	0.091667	0.908333	
1985	0.076782	0.923218	
1986	0.061135	0.938865	
1987	0.084243	0.915757	
1988	0.156436	0.843564	
1989	0.071429	0.928571	
1990	0.061960	0.938040	
1991	0.091940	0.908060	
1992	0.084195	0.915805	
1993	0.099050	0.900950	
1994	0.135667	0.864333	
1995	0.151980	0.848020	
1996	0.162866	0.837134	
1997	0.096425	0.903575	
1998	0.129480	0.870520	
1999	0.128099	0.871901	
2000	0.175627	0.824373	
2001	0.134740	0.865260	
2002	0.188542	0.811458	
2003	0.152755	0.847245	
2004	0.115930	0.884070	
2005	0.122760	0.877240	
2006	0.124647	0.875353	
2007	0.096579	0.903421	
2008	0.125055	0.874945	
2009	0.115342	0.884658	
2010	0.126258	0.873742	
2011	0.093817	0.906183	
2012	0.101105	0.898895	
2013	0.105909	0.894091	
2014	0.083927	0.916073	
2015	0.067263	0.932737	
2016	0.124157	0.875843	
2017	0.152885	0.847115	
2018	0.067509	0.932491	
