YEAR	C0006033	C0024198	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	0.833333	0.166667	
1984	0.092784	0.907216	
1985	0.209607	0.790393	
1986	0.308036	0.691964	
1987	0.290488	0.709512	
1988	0.279570	0.720430	
1989	0.170829	0.829171	
1990	0.060606	0.939394	
1991	0.050534	0.949466	
1992	0.054210	0.945790	
1993	0.074460	0.925540	
1994	0.079961	0.920039	
1995	0.147502	0.852498	
1996	0.181896	0.818104	
1997	0.096491	0.903509	
1998	0.092958	0.907042	
1999	0.114391	0.885609	
2000	0.137860	0.862140	
2001	0.145695	0.854305	
2002	0.077063	0.922937	
2003	0.132096	0.867904	
2004	0.165687	0.834313	
2005	0.192678	0.807322	
2006	0.162226	0.837774	
2007	0.103842	0.896158	
2008	0.146174	0.853826	
2009	0.189066	0.810934	
2010	0.273317	0.726683	
2011	0.144746	0.855254	
2012	0.200094	0.799906	
2013	0.283047	0.716953	
2014	0.186906	0.813094	
2015	0.155650	0.844350	
2016	0.240402	0.759598	
2017	0.204516	0.795484	
2018	0.165372	0.834628	
