YEAR	C0007578	C0178551	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	1.000000	0.000000	
1997	1.000000	0.000000	
1998	1.000000	0.000000	
1999	1.000000	0.000000	
2000	1.000000	0.000000	
2001	1.000000	0.000000	
2002	1.000000	0.000000	
2003	0.990981	0.009019	
2004	0.897326	0.102674	
2005	0.856193	0.143807	
2006	0.820261	0.179739	
2007	0.777580	0.222420	
2008	0.701082	0.298918	
2009	0.672715	0.327285	
2010	0.653168	0.346832	
2011	0.662231	0.337769	
2012	0.634708	0.365292	
2013	0.715973	0.284027	
2014	0.689215	0.310785	
2015	0.554862	0.445138	
2016	0.560947	0.439053	
2017	0.395264	0.604736	
2018	0.494768	0.505232	
