YEAR	C0007099	C0162854	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	0.986301	0.013699	
1993	0.957816	0.042184	
1994	0.976546	0.023454	
1995	0.967290	0.032710	
1996	0.986871	0.013129	
1997	0.961832	0.038168	
1998	0.987474	0.012526	
1999	0.970183	0.029817	
2000	0.997917	0.002083	
2001	1.000000	0.000000	
2002	0.987124	0.012876	
2003	0.991639	0.008361	
2004	0.993435	0.006565	
2005	0.980769	0.019231	
2006	0.995074	0.004926	
2007	0.994236	0.005764	
2008	0.998077	0.001923	
2009	0.995402	0.004598	
2010	1.000000	0.000000	
2011	0.985623	0.014377	
2012	0.885630	0.114370	
2013	0.991031	0.008969	
2014	1.000000	0.000000	
2015	0.989305	0.010695	
2016	0.935673	0.064327	
2017	0.997602	0.002398	
2018	0.911017	0.088983	
