YEAR	C0008107	C0022326	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	0.722222	0.277778	
1952	0.857143	0.142857	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	0.941176	0.058824	
1956	0.900000	0.100000	
1957	0.846154	0.153846	
1958	0.600000	0.400000	
1959	0.904762	0.095238	
1960	0.789474	0.210526	
1961	0.866667	0.133333	
1962	0.916667	0.083333	
1963	0.880000	0.120000	
1964	0.880000	0.120000	
1965	0.875000	0.125000	
1966	0.750000	0.250000	
1967	0.680000	0.320000	
1968	0.647059	0.352941	
1969	0.666667	0.333333	
1970	0.812500	0.187500	
1971	0.842105	0.157895	
1972	0.680000	0.320000	
1973	0.750000	0.250000	
1974	0.866667	0.133333	
1975	0.645161	0.354839	
1976	0.704225	0.295775	
1977	0.740260	0.259740	
1978	0.746835	0.253165	
1979	0.707071	0.292929	
1980	0.634146	0.365854	
1981	0.522936	0.477064	
1982	0.690722	0.309278	
1983	0.797980	0.202020	
1984	0.684211	0.315789	
1985	0.761468	0.238532	
1986	0.648352	0.351648	
1987	0.730769	0.269231	
1988	0.638298	0.361702	
1989	0.687204	0.312796	
1990	0.820106	0.179894	
1991	0.830688	0.169312	
1992	0.744048	0.255952	
1993	0.780220	0.219780	
1994	0.682692	0.317308	
1995	0.715640	0.284360	
1996	0.780702	0.219298	
1997	0.695122	0.304878	
1998	0.629630	0.370370	
1999	0.651376	0.348624	
2000	0.754209	0.245791	
2001	0.754098	0.245902	
2002	0.760563	0.239437	
2003	0.699784	0.300216	
2004	0.732210	0.267790	
2005	0.726776	0.273224	
2006	0.734177	0.265823	
2007	0.743316	0.256684	
2008	0.729216	0.270784	
2009	0.733572	0.266428	
2010	0.650168	0.349832	
2011	0.701557	0.298443	
2012	0.722404	0.277596	
2013	0.782654	0.217346	
2014	0.758099	0.241901	
2015	0.855113	0.144887	
2016	0.809164	0.190836	
2017	0.870882	0.129118	
2018	0.799383	0.200617	
