YEAR	C0008778	C0015422	
1950	0.571429	0.428571	
1951	0.916667	0.083333	
1952	0.857143	0.142857	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	0.909091	0.090909	
1956	0.850000	0.150000	
1957	0.777778	0.222222	
1958	0.818182	0.181818	
1959	0.777778	0.222222	
1960	0.900000	0.100000	
1961	0.918919	0.081081	
1962	0.882353	0.117647	
1963	0.807692	0.192308	
1964	0.812500	0.187500	
1965	0.857143	0.142857	
1966	0.853659	0.146341	
1967	0.935484	0.064516	
1968	0.882353	0.117647	
1969	0.933333	0.066667	
1970	0.861111	0.138889	
1971	0.813953	0.186047	
1972	0.911765	0.088235	
1973	0.937500	0.062500	
1974	0.957143	0.042857	
1975	0.994444	0.005556	
1976	0.945545	0.054455	
1977	0.983784	0.016216	
1978	0.984772	0.015228	
1979	0.982353	0.017647	
1980	0.969697	0.030303	
1981	0.982759	0.017241	
1982	0.961207	0.038793	
1983	0.992620	0.007380	
1984	0.955224	0.044776	
1985	0.986014	0.013986	
1986	0.946203	0.053797	
1987	0.942308	0.057692	
1988	0.985663	0.014337	
1989	0.931707	0.068293	
1990	0.969697	0.030303	
1991	0.946502	0.053498	
1992	0.876596	0.123404	
1993	0.888889	0.111111	
1994	0.903382	0.096618	
1995	0.972656	0.027344	
1996	0.811828	0.188172	
1997	0.923990	0.076010	
1998	0.881356	0.118644	
1999	0.977208	0.022792	
2000	0.916031	0.083969	
2001	0.945205	0.054795	
2002	0.852941	0.147059	
2003	0.924051	0.075949	
2004	0.909091	0.090909	
2005	0.946087	0.053913	
2006	0.906716	0.093284	
2007	0.952925	0.047075	
2008	0.986227	0.013773	
2009	0.988980	0.011020	
2010	0.932138	0.067862	
2011	0.988497	0.011503	
2012	0.980977	0.019023	
2013	0.985579	0.014421	
2014	0.972423	0.027577	
2015	0.982051	0.017949	
2016	0.990006	0.009994	
2017	0.986267	0.013733	
2018	0.940760	0.059240	
