YEAR	C0009563	C1321605	
1974	0.428571	0.571429	
1975	0.530000	0.470000	
1976	0.538462	0.461538	
1977	0.269504	0.730496	
1978	0.302752	0.697248	
1979	0.203774	0.796226	
1980	0.161194	0.838806	
1981	0.215938	0.784062	
1982	0.241237	0.758763	
1983	0.226457	0.773543	
1984	0.238532	0.761468	
1985	0.195041	0.804959	
1986	0.203498	0.796502	
1987	0.188776	0.811224	
1988	0.185816	0.814184	
1989	0.179171	0.820829	
1990	0.196610	0.803390	
1991	0.227468	0.772532	
1992	0.271667	0.728333	
1993	0.248000	0.752000	
1994	0.220930	0.779070	
1995	0.264249	0.735751	
1996	0.172104	0.827896	
1997	0.169514	0.830486	
1998	0.178782	0.821218	
1999	0.196127	0.803873	
2000	0.186101	0.813899	
2001	0.163221	0.836779	
2002	0.159153	0.840847	
2003	0.152542	0.847458	
2004	0.150334	0.849666	
2005	0.173232	0.826768	
2006	0.124344	0.875656	
2007	0.110288	0.889712	
2008	0.099694	0.900306	
2009	0.154966	0.845034	
2010	0.113398	0.886602	
2011	0.127384	0.872616	
2012	0.156458	0.843542	
2013	0.100432	0.899568	
2014	0.073218	0.926782	
2015	0.056693	0.943307	
2016	0.129473	0.870527	
2017	0.064736	0.935264	
2018	0.068611	0.931389	
