YEAR	C0011848	C0032246	
1946	0.888889	0.111111	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	0.809524	0.190476	
1953	0.973684	0.026316	
1954	0.958333	0.041667	
1955	0.920000	0.080000	
1956	0.796610	0.203390	
1957	0.867647	0.132353	
1958	0.927273	0.072727	
1959	0.887097	0.112903	
1960	0.884615	0.115385	
1961	0.961039	0.038961	
1962	0.895522	0.104478	
1963	0.909091	0.090909	
1964	0.786667	0.213333	
1965	0.913793	0.086207	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	0.833333	0.166667	
1976	0.705479	0.294521	
1977	0.792208	0.207792	
1978	0.862832	0.137168	
1979	0.735294	0.264706	
1980	0.783673	0.216327	
1981	0.666667	0.333333	
1982	0.637771	0.362229	
1983	0.625397	0.374603	
1984	0.484412	0.515588	
1985	0.580435	0.419565	
1986	0.509921	0.490079	
1987	0.385338	0.614662	
1988	0.338073	0.661927	
1989	0.254608	0.745392	
1990	0.180927	0.819073	
1991	0.152135	0.847865	
1992	0.182243	0.817757	
1993	0.165070	0.834930	
1994	0.164062	0.835938	
1995	0.183712	0.816288	
1996	0.149728	0.850272	
1997	0.197581	0.802419	
1998	0.254088	0.745912	
1999	0.214640	0.785360	
2000	0.234168	0.765832	
2001	0.204918	0.795082	
2002	0.234043	0.765957	
2003	0.231557	0.768443	
2004	0.353982	0.646018	
2005	0.262206	0.737794	
2006	0.279279	0.720721	
2007	0.252654	0.747346	
2008	0.191321	0.808679	
2009	0.132432	0.867568	
2010	0.146487	0.853513	
2011	0.133495	0.866505	
2012	0.126005	0.873995	
2013	0.210778	0.789222	
2014	0.197842	0.802158	
2015	0.137571	0.862429	
2016	0.181574	0.818426	
2017	0.269557	0.730443	
2018	0.140845	0.859155	
