YEAR	C0014563	C0014582	
1945	1.000000	0.000000	
1946	1.000000	0.000000	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	0.993556	0.006444	
1981	0.997794	0.002206	
1982	0.986564	0.013436	
1983	0.973190	0.026810	
1984	0.959271	0.040729	
1985	0.956749	0.043251	
1986	0.928801	0.071199	
1987	0.951228	0.048772	
1988	0.950197	0.049803	
1989	0.921337	0.078663	
1990	0.907317	0.092683	
1991	0.899083	0.100917	
1992	0.868864	0.131136	
1993	0.872632	0.127368	
1994	0.843900	0.156100	
1995	0.846353	0.153647	
1996	0.804348	0.195652	
1997	0.832909	0.167091	
1998	0.818260	0.181740	
1999	0.790315	0.209685	
2000	0.827952	0.172048	
2001	0.791764	0.208236	
2002	0.815227	0.184773	
2003	0.802277	0.197723	
2004	0.764075	0.235925	
2005	0.757314	0.242686	
2006	0.730828	0.269172	
2007	0.742471	0.257529	
2008	0.771769	0.228231	
2009	0.805627	0.194373	
2010	0.730097	0.269903	
2011	0.689375	0.310625	
2012	0.704613	0.295387	
2013	0.638732	0.361268	
2014	0.668061	0.331939	
2015	0.626263	0.373737	
2016	0.629410	0.370590	
2017	0.629423	0.370577	
2018	0.687988	0.312012	
