YEAR	C0016163	C0162789	
1945	1.000000	0.000000	
1946	1.000000	0.000000	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	0.988506	0.011494	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	0.865340	0.134660	
1993	0.517108	0.482892	
1994	0.417808	0.582192	
1995	0.373498	0.626502	
1996	0.387240	0.612760	
1997	0.391683	0.608317	
1998	0.401163	0.598837	
1999	0.412933	0.587067	
2000	0.465983	0.534017	
2001	0.475197	0.524803	
2002	0.498264	0.501736	
2003	0.481736	0.518264	
2004	0.479371	0.520629	
2005	0.498557	0.501443	
2006	0.532679	0.467321	
2007	0.523661	0.476339	
2008	0.572059	0.427941	
2009	0.595051	0.404949	
2010	0.581847	0.418153	
2011	0.657604	0.342396	
2012	0.700435	0.299565	
2013	0.699970	0.300030	
2014	0.717653	0.282347	
2015	0.701725	0.298275	
2016	0.715666	0.284334	
2017	0.748334	0.251666	
2018	0.790055	0.209945	
