YEAR	C0018120	C0221971	
1949	0.666667	0.333333	
1950	0.714286	0.285714	
1951	0.619048	0.380952	
1952	0.631579	0.368421	
1953	0.500000	0.500000	
1954	0.714286	0.285714	
1955	0.642857	0.357143	
1956	0.600000	0.400000	
1957	0.423077	0.576923	
1958	0.500000	0.500000	
1959	0.461538	0.538462	
1960	0.500000	0.500000	
1961	0.500000	0.500000	
1962	0.346154	0.653846	
1963	0.470588	0.529412	
1964	0.708333	0.291667	
1965	0.736842	0.263158	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	0.857143	0.142857	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	0.997557	0.002443	
1995	0.896791	0.103209	
1996	0.804570	0.195430	
1997	0.813543	0.186457	
1998	0.820373	0.179627	
1999	0.837665	0.162335	
2000	0.836814	0.163186	
2001	0.843168	0.156832	
2002	0.839395	0.160605	
2003	0.795790	0.204210	
2004	0.838160	0.161840	
2005	0.786667	0.213333	
2006	0.809961	0.190039	
2007	0.787145	0.212855	
2008	0.774203	0.225797	
2009	0.809702	0.190298	
2010	0.803365	0.196635	
2011	0.819873	0.180127	
2012	0.693984	0.306016	
2013	0.736288	0.263712	
2014	0.752632	0.247368	
2015	0.775403	0.224597	
2016	0.791616	0.208384	
2017	0.827075	0.172925	
2018	0.816363	0.183637	
