YEAR	C0017067	C1258666	
1946	0.800000	0.200000	
1947	0.937500	0.062500	
1948	0.400000	0.600000	
1949	0.500000	0.500000	
1950	0.607143	0.392857	
1951	0.885246	0.114754	
1952	0.966292	0.033708	
1953	1.000000	0.000000	
1954	0.972973	0.027027	
1955	0.966667	0.033333	
1956	0.979592	0.020408	
1957	1.000000	0.000000	
1958	0.989362	0.010638	
1959	0.966292	0.033708	
1960	1.000000	0.000000	
1961	0.980583	0.019417	
1962	0.979167	0.020833	
1963	0.992754	0.007246	
1964	0.992063	0.007937	
1965	0.974026	0.025974	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	1.000000	0.000000	
1997	1.000000	0.000000	
1998	1.000000	0.000000	
1999	1.000000	0.000000	
2000	1.000000	0.000000	
2001	1.000000	0.000000	
2002	0.985000	0.015000	
2003	0.883838	0.116162	
2004	0.539171	0.460829	
2005	0.578059	0.421941	
2006	0.610687	0.389313	
2007	0.547855	0.452145	
2008	0.406417	0.593583	
2009	0.780000	0.220000	
2010	0.731765	0.268235	
2011	0.749104	0.250896	
2012	0.683099	0.316901	
2013	0.759599	0.240401	
2014	0.557432	0.442568	
2015	0.724374	0.275626	
2016	0.464832	0.535168	
2017	0.788603	0.211397	
2018	0.395349	0.604651	
