YEAR	C0036220	C0376526	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	0.901822	0.098178	
1997	0.644737	0.355263	
1998	0.595214	0.404786	
1999	0.530368	0.469632	
2000	0.539789	0.460211	
2001	0.493167	0.506833	
2002	0.509862	0.490138	
2003	0.520117	0.479883	
2004	0.477037	0.522963	
2005	0.506390	0.493610	
2006	0.552169	0.447831	
2007	0.459574	0.540426	
2008	0.454373	0.545627	
2009	0.390362	0.609638	
2010	0.367657	0.632343	
2011	0.280624	0.719376	
2012	0.320854	0.679146	
2013	0.312965	0.687035	
2014	0.266040	0.733960	
2015	0.276406	0.723594	
2016	0.295205	0.704795	
2017	0.309079	0.690921	
2018	0.249818	0.750182	
