YEAR	C0019682	C0019693	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	0.998881	0.001119	
1988	0.986062	0.013938	
1989	0.597785	0.402215	
1990	0.232619	0.767381	
1991	0.168392	0.831608	
1992	0.135128	0.864872	
1993	0.112360	0.887640	
1994	0.090638	0.909362	
1995	0.094311	0.905689	
1996	0.090358	0.909642	
1997	0.066674	0.933326	
1998	0.066527	0.933473	
1999	0.058160	0.941840	
2000	0.077464	0.922536	
2001	0.059925	0.940075	
2002	0.072078	0.927922	
2003	0.072797	0.927203	
2004	0.082209	0.917791	
2005	0.076018	0.923982	
2006	0.085014	0.914986	
2007	0.099500	0.900500	
2008	0.109845	0.890155	
2009	0.064218	0.935782	
2010	0.083723	0.916277	
2011	0.103677	0.896323	
2012	0.087270	0.912730	
2013	0.062828	0.937172	
2014	0.058530	0.941470	
2015	0.045066	0.954934	
2016	0.045168	0.954832	
2017	0.049763	0.950237	
2018	0.044649	0.955351	
