YEAR	C0021069	C0021171	
1986	0.000000	1.000000	
1987	0.000000	1.000000	
1988	0.000000	1.000000	
1989	0.062500	0.937500	
1990	0.000000	1.000000	
1991	0.000000	1.000000	
1992	0.000000	1.000000	
1993	0.000000	1.000000	
1994	0.000000	1.000000	
1995	0.000000	1.000000	
1996	0.000000	1.000000	
1997	0.000000	1.000000	
1998	0.000000	1.000000	
1999	0.000000	1.000000	
2000	0.000000	1.000000	
2001	0.414141	0.585859	
2002	0.000000	1.000000	
2003	0.284211	0.715789	
2004	0.809917	0.190083	
2005	0.917419	0.082581	
2006	0.903498	0.096502	
2007	0.938650	0.061350	
2008	0.930568	0.069432	
2009	0.961684	0.038316	
2010	0.962908	0.037092	
2011	0.966499	0.033501	
2012	0.991823	0.008177	
2013	0.930040	0.069960	
2014	0.924776	0.075224	
2015	0.975381	0.024619	
2016	0.969807	0.030193	
2017	0.961842	0.038158	
2018	0.980535	0.019465	
