YEAR	C0022023	C0022024	
1945	1.000000	0.000000	
1946	0.920000	0.080000	
1947	0.868421	0.131579	
1948	0.791667	0.208333	
1949	0.756098	0.243902	
1950	0.790123	0.209877	
1951	0.760684	0.239316	
1952	0.819820	0.180180	
1953	0.791304	0.208696	
1954	0.715789	0.284211	
1955	0.761062	0.238938	
1956	0.840909	0.159091	
1957	0.913043	0.086957	
1958	0.946565	0.053435	
1959	0.944751	0.055249	
1960	0.961039	0.038961	
1961	0.900000	0.100000	
1962	0.916230	0.083770	
1963	0.940541	0.059459	
1964	0.928270	0.071730	
1965	0.929730	0.070270	
1966	0.841121	0.158879	
1967	0.798507	0.201493	
1968	0.936508	0.063492	
1969	0.831858	0.168142	
1970	0.909091	0.090909	
1971	0.905109	0.094891	
1972	0.822034	0.177966	
1973	0.786408	0.213592	
1974	0.806452	0.193548	
1975	0.790323	0.209677	
1976	0.886463	0.113537	
1977	0.858156	0.141844	
1978	0.847716	0.152284	
1979	0.750000	0.250000	
1980	0.818519	0.181481	
1981	0.837607	0.162393	
1982	0.751381	0.248619	
1983	0.873984	0.126016	
1984	0.762646	0.237354	
1985	0.785256	0.214744	
1986	0.729904	0.270096	
1987	0.778061	0.221939	
1988	0.766067	0.233933	
1989	0.768362	0.231638	
1990	0.718391	0.281609	
1991	0.772532	0.227468	
1992	0.771429	0.228571	
1993	0.712406	0.287594	
1994	0.712406	0.287594	
1995	0.640673	0.359327	
1996	0.718447	0.281553	
1997	0.813038	0.186962	
1998	0.705238	0.294762	
1999	0.768675	0.231325	
2000	0.795789	0.204211	
2001	0.858655	0.141345	
2002	0.864378	0.135622	
2003	0.842306	0.157694	
2004	0.846379	0.153621	
2005	0.923200	0.076800	
2006	0.931196	0.068804	
2007	0.926882	0.073118	
2008	0.912337	0.087663	
2009	0.939908	0.060092	
2010	0.954328	0.045672	
2011	0.963606	0.036394	
2012	0.936440	0.063560	
2013	0.956880	0.043120	
2014	0.956153	0.043847	
2015	0.970213	0.029787	
2016	0.965828	0.034172	
2017	0.940914	0.059086	
2018	0.959412	0.040588	
