YEAR	C0023078	C0023081	
1945	0.933333	0.066667	
1946	0.962264	0.037736	
1947	0.962500	0.037500	
1948	0.975309	0.024691	
1949	0.948052	0.051948	
1950	0.900000	0.100000	
1951	0.852321	0.147679	
1952	0.861345	0.138655	
1953	0.889313	0.110687	
1954	0.911392	0.088608	
1955	0.886076	0.113924	
1956	0.926724	0.073276	
1957	0.904959	0.095041	
1958	0.947867	0.052133	
1959	0.905738	0.094262	
1960	0.887324	0.112676	
1961	0.906977	0.093023	
1962	0.859574	0.140426	
1963	0.858491	0.141509	
1964	0.861345	0.138655	
1965	0.846774	0.153226	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	0.995951	0.004049	
1980	0.975535	0.024465	
1981	0.961390	0.038610	
1982	0.965035	0.034965	
1983	0.983146	0.016854	
1984	0.954667	0.045333	
1985	0.964103	0.035897	
1986	0.981073	0.018927	
1987	0.971576	0.028424	
1988	0.972050	0.027950	
1989	0.994071	0.005929	
1990	0.987784	0.012216	
1991	0.986325	0.013675	
1992	0.992523	0.007477	
1993	0.984791	0.015209	
1994	0.982567	0.017433	
1995	0.982550	0.017450	
1996	0.991892	0.008108	
1997	0.981159	0.018841	
1998	0.982567	0.017433	
1999	0.993538	0.006462	
2000	0.987437	0.012563	
2001	0.989150	0.010850	
2002	0.978761	0.021239	
2003	0.977099	0.022901	
2004	0.983687	0.016313	
2005	0.975904	0.024096	
2006	0.969001	0.030999	
2007	0.976000	0.024000	
2008	0.971985	0.028015	
2009	0.964109	0.035891	
2010	0.971429	0.028571	
2011	0.986996	0.013004	
2012	0.986315	0.013685	
2013	0.987292	0.012708	
2014	0.962798	0.037202	
2015	0.973576	0.026424	
2016	0.995724	0.004276	
2017	0.997978	0.002022	
2018	0.994932	0.005068	
