YEAR	C0024131	C0024138	C0024141	
1945	0.500000	0.000000	0.500000	
1946	0.275362	0.028986	0.695652	
1947	0.387097	0.129032	0.483871	
1948	0.361446	0.096386	0.542169	
1949	0.369231	0.138462	0.492308	
1950	0.338462	0.211538	0.450000	
1951	0.184971	0.075145	0.739884	
1952	0.113636	0.086364	0.800000	
1953	0.155102	0.081633	0.763265	
1954	0.137056	0.086294	0.776650	
1955	0.176471	0.058824	0.764706	
1956	0.068421	0.131579	0.800000	
1957	0.093137	0.171569	0.735294	
1958	0.030973	0.128319	0.840708	
1959	0.035354	0.131313	0.833333	
1960	0.050847	0.096045	0.853107	
1961	0.075269	0.069892	0.854839	
1962	0.042056	0.140187	0.817757	
1963	0.038023	0.212928	0.749049	
1964	0.050542	0.191336	0.758123	
1965	0.039683	0.178571	0.781746	
1966	0.046218	0.193277	0.760504	
1967	0.055794	0.120172	0.824034	
1968	0.070539	0.153527	0.775934	
1969	0.051383	0.090909	0.857708	
1970	0.049470	0.109541	0.840989	
1971	0.026549	0.117994	0.855457	
1972	0.027523	0.119266	0.853211	
1973	0.023873	0.092838	0.883289	
1974	0.011299	0.079096	0.909605	
1975	0.011719	0.067383	0.920898	
1976	0.020833	0.072917	0.906250	
1977	0.008929	0.077679	0.913393	
1978	0.005942	0.071307	0.922750	
1979	0.003897	0.079501	0.916602	
1980	0.010833	0.046667	0.942500	
1981	0.021850	0.079388	0.898762	
1982	0.007611	0.052693	0.939696	
1983	0.003333	0.043333	0.953333	
1984	0.008813	0.061690	0.929497	
1985	0.012452	0.063218	0.924330	
1986	0.005895	0.070740	0.923365	
1987	0.008898	0.040534	0.950568	
1988	0.008407	0.036432	0.955161	
1989	0.011849	0.041293	0.946858	
1990	0.012505	0.041032	0.946463	
1991	0.019481	0.020292	0.960227	
1992	0.021313	0.036874	0.941813	
1993	0.018498	0.025527	0.955975	
1994	0.010526	0.020702	0.968772	
1995	0.008938	0.027845	0.963218	
1996	0.017613	0.026745	0.955643	
1997	0.019726	0.030544	0.949730	
1998	0.033879	0.015829	0.950292	
1999	0.013947	0.026842	0.959211	
2000	0.007709	0.022026	0.970264	
2001	0.024756	0.020755	0.954489	
2002	0.011327	0.022435	0.966238	
2003	0.012895	0.019342	0.967763	
2004	0.018757	0.026974	0.954269	
2005	0.018548	0.019423	0.962030	
2006	0.031241	0.013451	0.955308	
2007	0.010234	0.012057	0.977709	
2008	0.002827	0.013748	0.983425	
2009	0.003755	0.015131	0.981113	
2010	0.002891	0.019913	0.977196	
2011	0.001237	0.013604	0.985159	
2012	0.000760	0.024696	0.974544	
2013	0.001764	0.017053	0.981183	
2014	0.000676	0.019409	0.979915	
2015	0.000772	0.016581	0.982647	
2016	0.000395	0.008294	0.991311	
2017	0.000651	0.014265	0.985084	
2018	0.001106	0.013545	0.985349	
