YEAR	C0028768	C0029421	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	0.767123	0.232877	
1985	0.568807	0.431193	
1986	0.738739	0.261261	
1987	0.706250	0.293750	
1988	0.687179	0.312821	
1989	0.833333	0.166667	
1990	0.886510	0.113490	
1991	0.891247	0.108753	
1992	0.921005	0.078995	
1993	0.898004	0.101996	
1994	0.915730	0.084270	
1995	0.961965	0.038035	
1996	0.947293	0.052707	
1997	0.917695	0.082305	
1998	0.924675	0.075325	
1999	0.932367	0.067633	
2000	0.947692	0.052308	
2001	0.928930	0.071070	
2002	0.894180	0.105820	
2003	0.912860	0.087140	
2004	0.948700	0.051300	
2005	0.940778	0.059222	
2006	0.950635	0.049365	
2007	0.941303	0.058697	
2008	0.933215	0.066785	
2009	0.939513	0.060487	
2010	0.941241	0.058759	
2011	0.951453	0.048547	
2012	0.911597	0.088403	
2013	0.945161	0.054839	
2014	0.933259	0.066741	
2015	0.942456	0.057544	
2016	0.932991	0.067009	
2017	0.925986	0.074014	
2018	0.877734	0.122266	
