YEAR	C0034044	C0034833	
1945	1.000000	0.000000	
1946	1.000000	0.000000	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	0.880000	0.120000	
1974	1.000000	0.000000	
1975	0.960000	0.040000	
1976	0.555556	0.444444	
1977	0.303030	0.696970	
1978	0.190789	0.809211	
1979	0.180258	0.819742	
1980	0.057627	0.942373	
1981	0.110119	0.889881	
1982	0.074627	0.925373	
1983	0.196013	0.803987	
1984	0.071848	0.928152	
1985	0.074830	0.925170	
1986	0.083333	0.916667	
1987	0.067493	0.932507	
1988	0.038825	0.961175	
1989	0.090756	0.909244	
1990	0.121693	0.878307	
1991	0.109880	0.890120	
1992	0.071429	0.928571	
1993	0.083775	0.916225	
1994	0.052778	0.947222	
1995	0.041357	0.958643	
1996	0.057025	0.942975	
1997	0.097273	0.902727	
1998	0.100954	0.899046	
1999	0.099728	0.900272	
2000	0.075914	0.924086	
2001	0.104679	0.895321	
2002	0.063250	0.936750	
2003	0.101296	0.898704	
2004	0.091830	0.908170	
2005	0.092584	0.907416	
2006	0.094363	0.905637	
2007	0.110157	0.889843	
2008	0.085645	0.914355	
2009	0.121122	0.878878	
2010	0.138996	0.861004	
2011	0.137099	0.862901	
2012	0.097027	0.902973	
2013	0.132790	0.867210	
2014	0.160301	0.839699	
2015	0.194444	0.805556	
2016	0.133499	0.866501	
2017	0.181964	0.818036	
2018	0.202349	0.797651	
