YEAR	C0011389	C0333463	
1950	0.250000	0.750000	
1951	0.187500	0.812500	
1952	0.000000	1.000000	
1953	0.166667	0.833333	
1954	0.200000	0.800000	
1955	0.166667	0.833333	
1956	0.428571	0.571429	
1957	0.300000	0.700000	
1958	0.000000	1.000000	
1959	0.250000	0.750000	
1960	0.000000	1.000000	
1961	0.055556	0.944444	
1962	0.307692	0.692308	
1963	0.500000	0.500000	
1964	0.370370	0.629630	
1965	0.888889	0.111111	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	0.995402	0.004598	
1997	0.859596	0.140404	
1998	0.702899	0.297101	
1999	0.725173	0.274827	
2000	0.746656	0.253344	
2001	0.713287	0.286713	
2002	0.787234	0.212766	
2003	0.657186	0.342814	
2004	0.683904	0.316096	
2005	0.665975	0.334025	
2006	0.675843	0.324157	
2007	0.643991	0.356009	
2008	0.487792	0.512208	
2009	0.563976	0.436024	
2010	0.551450	0.448550	
2011	0.481412	0.518588	
2012	0.398420	0.601580	
2013	0.396137	0.603863	
2014	0.442854	0.557146	
2015	0.419390	0.580610	
2016	0.373985	0.626015	
2017	0.364972	0.635028	
2018	0.364653	0.635347	
