YEAR	C0026934	C0032241	
1945	0.500000	0.500000	
1946	0.555556	0.444444	
1947	0.666667	0.333333	
1948	0.777778	0.222222	
1949	0.800000	0.200000	
1950	0.882353	0.117647	
1951	0.600000	0.400000	
1952	0.809524	0.190476	
1953	0.696970	0.303030	
1954	0.767442	0.232558	
1955	0.583333	0.416667	
1956	0.794872	0.205128	
1957	0.720000	0.280000	
1958	1.000000	0.000000	
1959	0.833333	0.166667	
1960	0.804878	0.195122	
1961	0.886364	0.113636	
1962	0.863636	0.136364	
1963	0.912281	0.087719	
1964	0.893805	0.106195	
1965	0.956522	0.043478	
1966	0.964427	0.035573	
1967	0.986622	0.013378	
1968	0.994924	0.005076	
1969	0.964789	0.035211	
1970	0.987952	0.012048	
1971	0.989362	0.010638	
1972	0.952381	0.047619	
1973	0.973585	0.026415	
1974	0.979253	0.020747	
1975	1.000000	0.000000	
1976	0.976804	0.023196	
1977	0.993590	0.006410	
1978	0.983651	0.016349	
1979	0.978182	0.021818	
1980	0.995261	0.004739	
1981	0.941691	0.058309	
1982	0.989726	0.010274	
1983	0.969412	0.030588	
1984	0.985882	0.014118	
1985	0.978193	0.021807	
1986	0.972973	0.027027	
1987	0.990588	0.009412	
1988	0.987461	0.012539	
1989	0.957845	0.042155	
1990	0.947846	0.052154	
1991	0.951220	0.048780	
1992	0.978049	0.021951	
1993	0.977477	0.022523	
1994	0.958998	0.041002	
1995	0.946387	0.053613	
1996	0.956164	0.043836	
1997	0.960298	0.039702	
1998	0.964557	0.035443	
1999	0.968208	0.031792	
2000	0.948025	0.051975	
2001	0.977330	0.022670	
2002	0.990403	0.009597	
2003	0.981707	0.018293	
2004	0.944262	0.055738	
2005	0.961404	0.038596	
2006	0.963696	0.036304	
2007	0.992908	0.007092	
2008	0.986441	0.013559	
2009	0.970968	0.029032	
2010	0.986159	0.013841	
2011	0.994828	0.005172	
2012	0.941253	0.058747	
2013	0.994278	0.005722	
2014	0.966038	0.033962	
2015	0.958333	0.041667	
2016	0.982726	0.017274	
2017	0.953730	0.046270	
2018	0.978873	0.021127	
