YEAR	C0039101	C0085077	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	0.833333	0.166667	
1965	1.000000	0.000000	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	0.977778	0.022222	
1991	0.620690	0.379310	
1992	0.506757	0.493243	
1993	0.485149	0.514851	
1994	0.460227	0.539773	
1995	0.453039	0.546961	
1996	0.488764	0.511236	
1997	0.601190	0.398810	
1998	0.726950	0.273050	
1999	0.521127	0.478873	
2000	0.650685	0.349315	
2001	0.651026	0.348974	
2002	0.733333	0.266667	
2003	0.677515	0.322485	
2004	0.753807	0.246193	
2005	0.676190	0.323810	
2006	0.763736	0.236264	
2007	0.440154	0.559846	
2008	0.703093	0.296907	
2009	0.655844	0.344156	
2010	0.794059	0.205941	
2011	0.650424	0.349576	
2012	0.735099	0.264901	
2013	0.778186	0.221814	
2014	0.761021	0.238979	
2015	0.737538	0.262462	
2016	0.691903	0.308097	
2017	0.770683	0.229317	
2018	0.858586	0.141414	
