YEAR	C0038395	C0038402	
1945	0.105263	0.894737	
1946	0.125000	0.875000	
1947	0.096386	0.903614	
1948	0.166667	0.833333	
1949	0.155172	0.844828	
1950	0.200000	0.800000	
1951	0.090909	0.909091	
1952	0.178571	0.821429	
1953	0.186916	0.813084	
1954	0.207921	0.792079	
1955	0.175573	0.824427	
1956	0.247525	0.752475	
1957	0.240741	0.759259	
1958	0.333333	0.666667	
1959	0.260417	0.739583	
1960	0.188235	0.811765	
1961	0.221154	0.778846	
1962	0.217391	0.782609	
1963	0.074830	0.925170	
1964	0.213836	0.786164	
1965	0.151832	0.848168	
1966	0.145833	0.854167	
1967	0.098039	0.901961	
1968	0.114679	0.885321	
1969	0.120482	0.879518	
1970	0.165992	0.834008	
1971	0.145540	0.854460	
1972	0.100372	0.899628	
1973	0.068111	0.931889	
1974	0.080229	0.919771	
1975	0.094737	0.905263	
1976	0.145610	0.854390	
1977	0.197640	0.802360	
1978	0.205714	0.794286	
1979	0.279330	0.720670	
1980	0.167155	0.832845	
1981	0.215259	0.784741	
1982	0.210654	0.789346	
1983	0.135922	0.864078	
1984	0.112474	0.887526	
1985	0.167273	0.832727	
1986	0.156788	0.843212	
1987	0.142593	0.857407	
1988	0.199005	0.800995	
1989	0.102253	0.897747	
1990	0.140845	0.859155	
1991	0.158754	0.841246	
1992	0.242259	0.757741	
1993	0.207237	0.792763	
1994	0.221254	0.778746	
1995	0.192771	0.807229	
1996	0.275338	0.724662	
1997	0.191027	0.808973	
1998	0.211800	0.788200	
1999	0.186464	0.813536	
2000	0.180791	0.819209	
2001	0.201977	0.798023	
2002	0.197062	0.802938	
2003	0.249610	0.750390	
2004	0.248915	0.751085	
2005	0.239332	0.760668	
2006	0.306407	0.693593	
2007	0.148394	0.851606	
2008	0.207386	0.792614	
2009	0.225204	0.774796	
2010	0.198560	0.801440	
2011	0.124521	0.875479	
2012	0.137615	0.862385	
2013	0.190867	0.809133	
2014	0.129757	0.870243	
2015	0.179042	0.820958	
2016	0.227053	0.772947	
2017	0.202557	0.797443	
2018	0.210870	0.789130	
