YEAR	C0017375	C0039341	C0039756	
1975	0.000000	0.000000	1.000000	
1976	0.000000	0.000000	1.000000	
1977	0.000000	0.000000	1.000000	
1978	0.000000	0.000000	1.000000	
1979	0.000000	0.000000	1.000000	
1980	0.000000	0.000000	1.000000	
1981	0.000000	0.000000	1.000000	
1982	0.000000	0.000000	1.000000	
1983	0.000000	0.000000	1.000000	
1984	0.000000	0.000000	1.000000	
1985	0.000000	0.086957	0.913043	
1986	0.000000	0.428571	0.571429	
1987	0.000000	0.807692	0.192308	
1988	0.000000	0.937500	0.062500	
1989	0.085714	0.862857	0.051429	
1990	0.223092	0.718200	0.058708	
1991	0.179283	0.808765	0.011952	
1992	0.306238	0.663516	0.030246	
1993	0.201493	0.792289	0.006219	
1994	0.270423	0.719718	0.009859	
1995	0.185567	0.809851	0.004582	
1996	0.114773	0.881818	0.003409	
1997	0.112455	0.879081	0.008464	
1998	0.094296	0.896391	0.009313	
1999	0.078063	0.915020	0.006917	
2000	0.074789	0.909530	0.015682	
2001	0.078947	0.901559	0.019493	
2002	0.029340	0.964140	0.006520	
2003	0.055980	0.939779	0.004241	
2004	0.045307	0.952265	0.002427	
2005	0.022457	0.976580	0.000962	
2006	0.035789	0.962105	0.002105	
2007	0.013220	0.983003	0.003777	
2008	0.126551	0.868486	0.004963	
2009	0.035964	0.964036	0.000000	
2010	0.092357	0.859873	0.047771	
2011	0.122099	0.876892	0.001009	
2012	0.196429	0.784091	0.019481	
2013	0.020179	0.977578	0.002242	
2014	0.025461	0.968393	0.006146	
2015	0.003171	0.991543	0.005285	
2016	0.000000	0.988152	0.011848	
2017	0.004854	0.967638	0.027508	
2018	0.000000	1.000000	0.000000	
