YEAR	C0040079	C0041041	
1970	0.000000	1.000000	
1971	0.000000	1.000000	
1972	0.000000	1.000000	
1973	0.000000	1.000000	
1974	0.000000	1.000000	
1975	0.013333	0.986667	
1976	0.115646	0.884354	
1977	0.066148	0.933852	
1978	0.039370	0.960630	
1979	0.051392	0.948608	
1980	0.014493	0.985507	
1981	0.025696	0.974304	
1982	0.044059	0.955941	
1983	0.019366	0.980634	
1984	0.041591	0.958409	
1985	0.039046	0.960954	
1986	0.061350	0.938650	
1987	0.018933	0.981067	
1988	0.037113	0.962887	
1989	0.067227	0.932773	
1990	0.035714	0.964286	
1991	0.045000	0.955000	
1992	0.035294	0.964706	
1993	0.051282	0.948718	
1994	0.089623	0.910377	
1995	0.061728	0.938272	
1996	0.049645	0.950355	
1997	0.068783	0.931217	
1998	0.026144	0.973856	
1999	0.013699	0.986301	
2000	0.177215	0.822785	
2001	0.149351	0.850649	
2002	0.125786	0.874214	
2003	0.200000	0.800000	
2004	0.071429	0.928571	
2005	0.102151	0.897849	
2006	0.156716	0.843284	
2007	0.094203	0.905797	
2008	0.114754	0.885246	
2009	0.124060	0.875940	
2010	0.046053	0.953947	
2011	0.020725	0.979275	
2012	0.024715	0.975285	
2013	0.062500	0.937500	
2014	0.251984	0.748016	
2015	0.117048	0.882952	
2016	0.078400	0.921600	
2017	0.069725	0.930275	
2018	0.000000	1.000000	
