YEAR	C0076088	C0077400	
1980	0.000000	1.000000	
1981	0.000000	1.000000	
1982	0.000000	1.000000	
1983	0.000000	1.000000	
1984	0.000000	1.000000	
1985	0.058252	0.941748	
1986	0.190909	0.809091	
1987	0.286325	0.713675	
1988	0.460274	0.539726	
1989	0.517426	0.482574	
1990	0.570175	0.429825	
1991	0.691928	0.308072	
1992	0.658065	0.341935	
1993	0.762871	0.237129	
1994	0.729412	0.270588	
1995	0.784635	0.215365	
1996	0.789625	0.210375	
1997	0.751527	0.248473	
1998	0.735577	0.264423	
1999	0.667954	0.332046	
2000	0.718400	0.281600	
2001	0.605517	0.394483	
2002	0.801489	0.198511	
2003	0.793651	0.206349	
2004	0.766839	0.233161	
2005	0.748869	0.251131	
2006	0.883845	0.116155	
2007	0.696891	0.303109	
2008	0.789030	0.210970	
2009	0.924476	0.075524	
2010	0.868502	0.131498	
2011	0.864341	0.135659	
2012	0.793443	0.206557	
2013	0.705649	0.294351	
2014	0.874763	0.125237	
2015	0.919876	0.080124	
2016	0.735541	0.264459	
2017	0.883200	0.116800	
2018	0.950178	0.049822	
