YEAR	C0010414	C0010415	
1945	0.500000	0.500000	
1946	0.600000	0.400000	
1947	0.600000	0.400000	
1948	0.500000	0.500000	
1949	0.485714	0.514286	
1950	0.777778	0.222222	
1951	0.588235	0.411765	
1952	0.723404	0.276596	
1953	0.806452	0.193548	
1954	0.680851	0.319149	
1955	0.686275	0.313725	
1956	0.704545	0.295455	
1957	0.763636	0.236364	
1958	0.661290	0.338710	
1959	0.800000	0.200000	
1960	0.777778	0.222222	
1961	0.680000	0.320000	
1962	0.809524	0.190476	
1963	0.627119	0.372881	
1964	0.647059	0.352941	
1965	0.671429	0.328571	
1966	0.500000	0.500000	
1967	0.543860	0.456140	
1968	0.511905	0.488095	
1969	0.540541	0.459459	
1970	0.642857	0.357143	
1971	0.469136	0.530864	
1972	0.451220	0.548780	
1973	0.516484	0.483516	
1974	0.557895	0.442105	
1975	0.487654	0.512346	
1976	0.503268	0.496732	
1977	0.572368	0.427632	
1978	0.496403	0.503597	
1979	0.500000	0.500000	
1980	0.527607	0.472393	
1981	0.573604	0.426396	
1982	0.454976	0.545024	
1983	0.584615	0.415385	
1984	0.647799	0.352201	
1985	0.718085	0.281915	
1986	0.538043	0.461957	
1987	0.635514	0.364486	
1988	0.542169	0.457831	
1989	0.676558	0.323442	
1990	0.703704	0.296296	
1991	0.808943	0.191057	
1992	0.872951	0.127049	
1993	0.929204	0.070796	
1994	0.949686	0.050314	
1995	0.948220	0.051780	
1996	0.921642	0.078358	
1997	0.947195	0.052805	
1998	0.881818	0.118182	
1999	0.809886	0.190114	
2000	0.806011	0.193989	
2001	0.814685	0.185315	
2002	0.760417	0.239583	
2003	0.796562	0.203438	
2004	0.741706	0.258294	
2005	0.732441	0.267559	
2006	0.726496	0.273504	
2007	0.657377	0.342623	
2008	0.704604	0.295396	
2009	0.657856	0.342144	
2010	0.721422	0.278578	
2011	0.760638	0.239362	
2012	0.701687	0.298313	
2013	0.655949	0.344051	
2014	0.671316	0.328684	
2015	0.770766	0.229234	
2016	0.724856	0.275144	
2017	0.713613	0.286387	
2018	0.607898	0.392102	
