YEAR	C0007799	C0018827	
1945	0.142857	0.857143	
1946	0.235294	0.764706	
1947	0.100000	0.900000	
1948	0.121212	0.878788	
1949	0.075000	0.925000	
1950	0.064516	0.935484	
1951	0.052239	0.947761	
1952	0.097015	0.902985	
1953	0.180000	0.820000	
1954	0.130769	0.869231	
1955	0.131148	0.868852	
1956	0.050847	0.949153	
1957	0.053030	0.946970	
1958	0.106918	0.893082	
1959	0.063694	0.936306	
1960	0.095694	0.904306	
1961	0.090361	0.909639	
1962	0.083333	0.916667	
1963	0.067873	0.932127	
1964	0.092050	0.907950	
1965	0.093960	0.906040	
1966	0.094262	0.905738	
1967	0.065359	0.934641	
1968	0.083130	0.916870	
1969	0.082707	0.917293	
1970	0.081594	0.918406	
1971	0.086039	0.913961	
1972	0.060942	0.939058	
1973	0.061711	0.938289	
1974	0.050715	0.949285	
1975	0.035256	0.964744	
1976	0.032665	0.967335	
1977	0.021696	0.978304	
1978	0.024158	0.975842	
1979	0.036801	0.963199	
1980	0.035249	0.964751	
1981	0.021597	0.978403	
1982	0.022006	0.977994	
1983	0.028385	0.971615	
1984	0.029063	0.970937	
1985	0.027457	0.972543	
1986	0.029155	0.970845	
1987	0.028032	0.971968	
1988	0.029067	0.970933	
1989	0.024367	0.975633	
1990	0.025909	0.974091	
1991	0.028064	0.971936	
1992	0.028363	0.971637	
1993	0.032556	0.967444	
1994	0.042914	0.957086	
1995	0.033296	0.966704	
1996	0.033577	0.966423	
1997	0.042022	0.957978	
1998	0.041092	0.958908	
1999	0.026446	0.973554	
2000	0.040012	0.959988	
2001	0.029668	0.970332	
2002	0.028537	0.971463	
2003	0.037451	0.962549	
2004	0.022737	0.977263	
2005	0.021272	0.978728	
2006	0.018872	0.981128	
2007	0.026614	0.973386	
2008	0.025777	0.974223	
2009	0.029161	0.970839	
2010	0.025708	0.974292	
2011	0.037004	0.962996	
2012	0.024215	0.975785	
2013	0.020362	0.979638	
2014	0.026585	0.973415	
2015	0.032415	0.967585	
2016	0.022059	0.977941	
2017	0.020451	0.979549	
2018	0.014691	0.985309	
