YEAR	C0023308	C0023317	C0023318	
1945	0.000000	0.571429	0.428571	
1946	0.000000	0.529412	0.470588	
1947	0.000000	0.406250	0.593750	
1948	0.000000	0.617021	0.382979	
1949	0.000000	0.736842	0.263158	
1950	0.000000	0.693548	0.306452	
1951	0.000000	0.517647	0.482353	
1952	0.037500	0.762500	0.200000	
1953	0.054054	0.675676	0.270270	
1954	0.020408	0.683673	0.295918	
1955	0.036145	0.710843	0.253012	
1956	0.039604	0.663366	0.297030	
1957	0.048387	0.741935	0.209677	
1958	0.052632	0.654135	0.293233	
1959	0.007407	0.755556	0.237037	
1960	0.000000	0.770115	0.229885	
1961	0.000000	0.739884	0.260116	
1962	0.000000	0.661692	0.338308	
1963	0.015267	0.847328	0.137405	
1964	0.012579	0.855346	0.132075	
1965	0.000000	0.902703	0.097297	
1966	0.000000	0.914474	0.085526	
1967	0.000000	0.869565	0.130435	
1968	0.000000	0.938547	0.061453	
1969	0.000000	0.936255	0.063745	
1970	0.000000	0.879310	0.120690	
1971	0.000000	0.853403	0.146597	
1972	0.000000	0.817143	0.182857	
1973	0.000000	0.961538	0.038462	
1974	0.000000	0.906433	0.093567	
1975	0.000000	0.833948	0.166052	
1976	0.000000	0.832268	0.167732	
1977	0.003109	0.631088	0.365803	
1978	0.029985	0.760120	0.209895	
1979	0.030801	0.889117	0.080082	
1980	0.019802	0.940594	0.039604	
1981	0.011650	0.957282	0.031068	
1982	0.025862	0.946121	0.028017	
1983	0.017429	0.960784	0.021786	
1984	0.016129	0.957661	0.026210	
1985	0.009836	0.959016	0.031148	
1986	0.017682	0.941061	0.041257	
1987	0.025265	0.938875	0.035860	
1988	0.035088	0.897507	0.067405	
1989	0.025474	0.961463	0.013063	
1990	0.029873	0.922330	0.047797	
1991	0.011161	0.976935	0.011905	
1992	0.040569	0.943060	0.016370	
1993	0.026125	0.960087	0.013788	
1994	0.015361	0.963134	0.021505	
1995	0.017299	0.940785	0.041916	
1996	0.006974	0.966527	0.026499	
1997	0.018768	0.943695	0.037537	
1998	0.009542	0.965013	0.025445	
1999	0.028391	0.936909	0.034700	
2000	0.036802	0.933376	0.029822	
2001	0.019679	0.951321	0.029001	
2002	0.025474	0.941215	0.033312	
2003	0.023124	0.956835	0.020041	
2004	0.011965	0.944317	0.043718	
2005	0.027442	0.951153	0.021405	
2006	0.012821	0.947802	0.039377	
2007	0.017497	0.938316	0.044187	
2008	0.009410	0.930282	0.060308	
2009	0.007048	0.912816	0.080136	
2010	0.012222	0.906170	0.081609	
2011	0.009043	0.831615	0.159342	
2012	0.017744	0.888495	0.093762	
2013	0.009850	0.865682	0.124468	
2014	0.008469	0.877371	0.114160	
2015	0.013186	0.905538	0.081275	
2016	0.006754	0.868105	0.125141	
2017	0.011456	0.922949	0.065595	
2018	0.041995	0.872703	0.085302	
