YEAR	C0008354	C0008359	
1945	17	0	
1946	36	1	
1947	42	1	
1948	50	5	
1949	12	1	
1950	50	4	
1951	95	1	
1952	26	1	
1953	21	3	
1954	23	0	
1955	30	0	
1956	25	2	
1957	34	1	
1958	28	0	
1959	27	1	
1960	27	0	
1961	39	2	
1962	35	2	
1963	95	19	
1964	102	28	
1965	101	21	
1966	83	8	
1967	109	25	
1968	159	40	
1969	128	38	
1970	230	30	
1971	227	44	
1972	215	32	
1973	170	38	
1974	170	27	
1975	299	45	
1976	221	42	
1977	160	34	
1978	135	21	
1979	169	36	
1980	127	23	
1981	147	25	
1982	156	14	
1983	176	26	
1984	165	50	
1985	144	22	
1986	156	38	
1987	83	38	
1988	132	53	
1989	164	63	
1990	160	78	
1991	302	58	
1992	371	81	
1993	379	86	
1994	517	81	
1995	542	76	
1996	477	31	
1997	319	55	
1998	408	106	
1999	254	51	
2000	369	87	
2001	449	49	
2002	342	33	
2003	415	42	
2004	304	64	
2005	358	63	
2006	620	88	
2007	814	314	
2008	1143	102	
2009	980	218	
2010	1093	131	
2011	3319	805	
2012	1948	371	
2013	4001	1346	
2014	2892	962	
2015	3055	578	
2016	3230	1012	
2017	3525	823	
2018	1593	448	
