YEAR	C0014921	C0026019	
1946	0	11	
1947	0	13	
1948	0	24	
1949	0	25	
1950	0	30	
1951	0	61	
1952	0	71	
1953	0	62	
1954	0	86	
1955	0	113	
1956	0	138	
1957	0	138	
1958	0	155	
1959	0	152	
1960	0	168	
1961	0	220	
1962	0	232	
1963	0	277	
1964	0	345	
1965	0	408	
1966	0	455	
1967	0	544	
1968	0	624	
1969	0	683	
1970	0	696	
1971	0	634	
1972	0	809	
1973	0	754	
1974	0	723	
1975	16	1164	
1976	19	825	
1977	43	1125	
1978	29	1081	
1979	34	1257	
1980	34	1670	
1981	73	1858	
1982	35	1995	
1983	48	2207	
1984	70	2362	
1985	58	2440	
1986	48	2454	
1987	62	2400	
1988	101	2598	
1989	51	2566	
1990	59	2276	
1991	115	2212	
1992	76	2144	
1993	53	2154	
1994	109	2057	
1995	84	1983	
1996	101	1831	
1997	96	2158	
1998	95	2164	
1999	123	1885	
2000	59	2060	
2001	107	2079	
2002	72	2098	
2003	73	2177	
2004	120	1716	
2005	131	1136	
2006	65	999	
2007	125	1088	
2008	62	1515	
2009	37	1305	
2010	50	1587	
2011	38	2041	
2012	35	1684	
2013	27	2403	
2014	35	2104	
2015	16	2988	
2016	77	2504	
2017	22	2586	
2018	3	620	
