YEAR	C0028768	C0029421	
1975	9	0	
1976	5	0	
1977	9	0	
1978	8	0	
1979	12	0	
1980	26	0	
1981	16	0	
1982	22	0	
1983	37	0	
1984	56	17	
1985	62	47	
1986	82	29	
1987	113	47	
1988	134	61	
1989	225	45	
1990	414	53	
1991	336	41	
1992	513	44	
1993	405	46	
1994	489	45	
1995	607	24	
1996	665	37	
1997	669	60	
1998	712	58	
1999	772	56	
2000	924	51	
2001	1111	85	
2002	845	100	
2003	1079	103	
2004	1387	75	
2005	1668	105	
2006	1945	101	
2007	1748	109	
2008	2110	151	
2009	2159	139	
2010	3444	215	
2011	2783	142	
2012	2712	263	
2013	3516	204	
2014	4992	357	
2015	4635	283	
2016	3996	287	
2017	5117	409	
2018	883	123	
