YEAR	C0032172	C0037019	
1979	6	0	
1980	101	16	
1981	236	19	
1982	307	20	
1983	557	28	
1984	775	22	
1985	991	34	
1986	1521	37	
1987	1812	40	
1988	2177	15	
1989	2760	30	
1990	3251	28	
1991	4088	17	
1992	3397	27	
1993	2949	42	
1994	2486	31	
1995	2270	29	
1996	2308	29	
1997	2127	14	
1998	1438	17	
1999	1524	10	
2000	1353	11	
2001	969	4	
2002	1153	15	
2003	944	5	
2004	810	7	
2005	990	8	
2006	718	11	
2007	858	0	
2008	816	2	
2009	872	8	
2010	876	6	
2011	1053	2	
2012	1069	1	
2013	1233	5	
2014	1124	0	
2015	935	0	
2016	1007	0	
2017	463	0	
2018	740	0	
