YEAR	C0035298	C0035331	
1945	5	2	
1946	51	4	
1947	64	4	
1948	86	16	
1949	107	0	
1950	126	0	
1951	192	2	
1952	219	28	
1953	225	15	
1954	169	0	
1955	202	4	
1956	253	17	
1957	210	2	
1958	220	20	
1959	237	0	
1960	210	3	
1961	321	7	
1962	235	3	
1963	267	13	
1964	294	5	
1965	287	3	
1966	290	0	
1967	357	0	
1968	417	0	
1969	447	0	
1970	401	0	
1971	425	1	
1972	480	0	
1973	498	1	
1974	499	8	
1975	1282	31	
1976	1205	47	
1977	1199	66	
1978	1347	55	
1979	1409	32	
1980	1579	81	
1981	2016	55	
1982	2220	57	
1983	2552	49	
1984	2768	91	
1985	3179	72	
1986	3126	49	
1987	3293	79	
1988	3132	129	
1989	3567	184	
1990	3637	116	
1991	3442	157	
1992	3546	142	
1993	3494	151	
1994	3779	244	
1995	4223	156	
1996	4379	257	
1997	4434	166	
1998	4596	141	
1999	4749	237	
2000	5234	212	
2001	4794	210	
2002	4850	574	
2003	5672	167	
2004	6429	289	
2005	6343	268	
2006	8101	549	
2007	10038	279	
2008	11877	215	
2009	13902	758	
2010	15965	439	
2011	19074	515	
2012	22572	950	
2013	25960	500	
2014	28044	287	
2015	26720	363	
2016	35642	501	
2017	28479	292	
2018	11737	153	
