YEAR	C0038395	C0038402	
1945	2	17	
1946	10	70	
1947	8	75	
1948	9	45	
1949	9	49	
1950	15	60	
1951	6	60	
1952	15	69	
1953	20	87	
1954	21	80	
1955	23	108	
1956	25	76	
1957	26	82	
1958	35	70	
1959	25	71	
1960	16	69	
1961	23	81	
1962	20	72	
1963	11	136	
1964	34	125	
1965	29	162	
1966	21	123	
1967	15	138	
1968	25	193	
1969	30	219	
1970	41	206	
1971	31	182	
1972	27	242	
1973	22	301	
1974	28	321	
1975	54	516	
1976	68	399	
1977	67	272	
1978	72	278	
1979	100	258	
1980	57	284	
1981	79	288	
1982	87	326	
1983	70	445	
1984	55	434	
1985	92	458	
1986	82	441	
1987	77	463	
1988	120	483	
1989	59	518	
1990	100	610	
1991	107	567	
1992	133	416	
1993	126	482	
1994	127	447	
1995	144	603	
1996	163	429	
1997	132	559	
1998	140	521	
1999	135	589	
2000	128	580	
2001	143	565	
2002	161	656	
2003	160	481	
2004	172	519	
2005	129	410	
2006	220	498	
2007	134	769	
2008	146	558	
2009	193	664	
2010	193	779	
2011	130	914	
2012	180	1128	
2013	326	1382	
2014	208	1395	
2015	258	1183	
2016	329	1120	
2017	206	811	
2018	97	363	
