YEAR	C0041070	C0077404	
1981	0	9	
1982	27	23	
1983	11	31	
1984	11	79	
1985	17	64	
1986	18	49	
1987	8	91	
1988	27	97	
1989	19	89	
1990	33	43	
1991	34	147	
1992	29	154	
1993	35	170	
1994	43	298	
1995	63	327	
1996	57	403	
1997	116	382	
1998	89	677	
1999	75	534	
2000	152	487	
2001	189	376	
2002	258	500	
2003	204	486	
2004	327	523	
2005	391	419	
2006	251	511	
2007	283	581	
2008	427	449	
2009	319	563	
2010	479	565	
2011	314	755	
2012	231	967	
2013	344	1048	
2014	452	1137	
2015	345	1183	
2016	256	1345	
2017	396	1472	
2018	35	224	
