YEAR	C0043395	C0301508	
1945	4	1	
1946	22	4	
1947	13	2	
1948	12	0	
1949	11	0	
1950	35	0	
1951	82	4	
1952	36	1	
1953	32	5	
1954	35	3	
1955	34	3	
1956	19	1	
1957	23	0	
1958	31	0	
1959	22	3	
1960	25	3	
1961	11	2	
1962	28	12	
1963	15	2	
1964	12	2	
1965	21	1	
1966	30	0	
1967	15	0	
1968	28	0	
1969	15	0	
1970	21	0	
1971	17	0	
1972	32	0	
1973	32	0	
1974	9	0	
1975	38	0	
1976	27	0	
1977	28	0	
1978	23	0	
1979	17	0	
1980	22	0	
1981	49	0	
1982	23	0	
1983	20	0	
1984	39	0	
1985	22	0	
1986	59	0	
1987	25	0	
1988	30	0	
1989	41	0	
1990	44	0	
1991	29	0	
1992	38	0	
1993	62	0	
1994	17	0	
1995	53	0	
1996	46	0	
1997	51	0	
1998	58	0	
1999	133	9	
2000	26	4	
2001	103	74	
2002	116	62	
2003	100	38	
2004	141	55	
2005	89	109	
2006	97	62	
2007	150	113	
2008	267	228	
2009	105	86	
2010	160	133	
2011	250	173	
2012	123	65	
2013	404	281	
2014	484	263	
2015	300	289	
2016	317	171	
2017	695	325	
2018	390	252	
