YEAR	C0011905	C1956346	
1983	5	0	
1984	9	0	
1985	10	4	
1986	6	25	
1987	12	85	
1988	9	106	
1989	15	110	
1990	20	191	
1991	14	236	
1992	10	205	
1993	19	263	
1994	26	280	
1995	20	311	
1996	30	284	
1997	20	313	
1998	44	477	
1999	53	488	
2000	57	465	
2001	78	1392	
2002	103	2376	
2003	118	3147	
2004	144	3524	
2005	322	3934	
2006	165	4871	
2007	312	5553	
2008	395	6756	
2009	302	7532	
2010	148	7870	
2011	435	9660	
2012	605	11790	
2013	339	13699	
2014	480	15589	
2015	431	19162	
2016	208	20288	
2017	478	18618	
2018	281	6315	
