YEAR	C0008107	C0022326	
1949	4	0	
1950	15	0	
1951	13	5	
1952	18	3	
1953	10	0	
1954	13	0	
1955	16	1	
1956	9	1	
1957	11	2	
1958	9	6	
1959	19	2	
1960	15	4	
1961	13	2	
1962	22	2	
1963	22	3	
1964	22	3	
1965	28	4	
1966	24	8	
1967	17	8	
1968	11	6	
1969	14	7	
1970	26	6	
1971	32	6	
1972	34	16	
1973	24	8	
1974	39	6	
1975	40	22	
1976	50	21	
1977	57	20	
1978	59	20	
1979	70	29	
1980	52	30	
1981	57	52	
1982	67	30	
1983	79	20	
1984	65	30	
1985	83	26	
1986	59	32	
1987	76	28	
1988	60	34	
1989	145	66	
1990	155	34	
1991	157	32	
1992	125	43	
1993	142	40	
1994	142	66	
1995	151	60	
1996	178	50	
1997	228	100	
1998	187	110	
1999	213	114	
2000	224	73	
2001	276	90	
2002	324	102	
2003	324	139	
2004	391	143	
2005	399	150	
2006	464	168	
2007	556	192	
2008	614	228	
2009	614	223	
2010	775	417	
2011	811	345	
2012	1322	508	
2013	1516	421	
2014	1755	560	
2015	2166	367	
2016	1607	379	
2017	2300	341	
2018	777	195	
