YEAR	C0014063	C0065661	
1973	15	0	
1974	29	0	
1975	59	0	
1976	41	0	
1977	42	0	
1978	137	0	
1979	115	0	
1980	119	0	
1981	302	0	
1982	250	0	
1983	411	0	
1984	500	1	
1985	499	0	
1986	696	0	
1987	639	1	
1988	651	3	
1989	656	0	
1990	786	0	
1991	651	5	
1992	750	17	
1993	923	0	
1994	899	9	
1995	837	34	
1996	784	19	
1997	1110	12	
1998	1418	3	
1999	836	15	
2000	1006	4	
2001	630	34	
2002	545	270	
2003	509	617	
2004	420	1084	
2005	491	1112	
2006	458	1093	
2007	411	939	
2008	644	1256	
2009	800	1091	
2010	593	1523	
2011	1114	1842	
2012	1023	2771	
2013	1480	2192	
2014	1923	1971	
2015	1359	1491	
2016	1636	1544	
2017	870	1010	
2018	298	360	
