YEAR	C0027960	C0324740	
1946	19	3	
1947	22	4	
1948	9	11	
1949	27	8	
1950	48	13	
1951	52	29	
1952	48	39	
1953	45	30	
1954	43	30	
1955	30	28	
1956	45	21	
1957	48	43	
1958	38	25	
1959	55	50	
1960	57	31	
1961	53	22	
1962	48	13	
1963	56	13	
1964	61	23	
1965	65	5	
1966	33	0	
1967	32	0	
1968	34	0	
1969	30	0	
1970	36	0	
1971	27	0	
1972	24	0	
1973	25	0	
1974	26	1	
1975	93	26	
1976	82	16	
1977	61	5	
1978	65	17	
1979	120	4	
1980	82	14	
1981	93	12	
1982	81	5	
1983	108	2	
1984	115	22	
1985	179	12	
1986	121	7	
1987	111	11	
1988	157	20	
1989	223	23	
1990	180	35	
1991	190	7	
1992	138	1	
1993	181	4	
1994	179	3	
1995	248	37	
1996	209	28	
1997	197	17	
1998	196	9	
1999	272	34	
2000	194	37	
2001	185	13	
2002	148	19	
2003	305	42	
2004	333	44	
2005	301	23	
2006	245	59	
2007	426	37	
2008	263	339	
2009	344	93	
2010	480	198	
2011	588	80	
2012	587	98	
2013	532	130	
2014	740	133	
2015	508	34	
2016	558	256	
2017	771	153	
2018	126	83	
